"PFCANA","PFCRACE","PFCGENDR","PFCAGE","PFCPOOL","PFCAMNT","PFCCMT"
"PFDoA",1,1,3,1,0.1,1
"PFHpA",1,1,3,1,0.5,0
"PFHxS",1,1,3,1,17.2,0
"PFNA",1,1,3,1,0.8,0
"PFOA",1,1,3,1,7.3,0
"PFOS",1,1,3,1,41,0
"PFOSA",1,1,3,1,0.3,0
"Et-PFOSA-AcOH",1,1,3,2,1,0
"Me-PFOSA-AcOH",1,1,3,2,7.2,0
"PFBuS",1,1,3,2,0.1,1
"PFDeA",1,1,3,2,0.1,1
"PFDoA",1,1,3,2,0.1,1
"PFHpA",1,1,3,2,0.7,0
"PFHxS",1,1,3,2,9,0
"PFNA",1,1,3,2,0.7,0
"PFOA",1,1,3,2,8.2,0
"PFOS",1,1,3,2,37.2,0
"PFOSA",1,1,3,2,0.9,0
"Et-PFOSA-AcOH",1,1,6,1,0.6,0
"Me-PFOSA-AcOH",1,1,6,1,2.9,0
"PFBuS",1,1,6,1,0.1,1
"PFDeA",1,1,6,1,0.1,1
"PFDoA",1,1,6,1,0.1,1
"PFHpA",1,1,6,1,0.5,0
"PFHxS",1,1,6,1,15.2,0
"PFNA",1,1,6,1,0.8,0
"PFOA",1,1,6,1,8,0
"PFOS",1,1,6,1,43.1,0
"PFOSA",1,1,6,1,0.7,0
"Et-PFOSA-AcOH",1,1,6,2,0.8,0
"Me-PFOSA-AcOH",1,1,6,2,2.8,0
"PFBuS",1,1,6,2,0.1,1
"PFDeA",1,1,6,2,0.1,1
"PFDoA",1,1,6,2,0.1,1
"PFHpA",1,1,6,2,0.6,0
"PFHxS",1,1,6,2,11.1,0
"PFNA",1,1,6,2,0.9,0
"PFOA",1,1,6,2,7.2,0
"PFOS",1,1,6,2,38,0
"PFOSA",1,1,6,2,0.7,0
