"POOLID","RIAGENDR","RIDRAETN","RIDAGGRP","RIANSMP","SS028","SS044","SS049","SS052","SS066","SS074","SS087","SS099","SS101","SS110","SS128","SS138","SS146","SS149","SS151","SS153","SS170","SS172","SS177","SS178","SS180","SS183","SS187","SS194","SS195","SS196","SS199","SS206","SS209"
61,1,2,-1,21,2.2,0.4,0.4,0.5,1,3.1,0.4,2.4,0.4,0.4,0.4,5.5,0.9,0.4,0.4,9.1,1.8,0.4,0.4,0.4,4.3,0.6,1.3,0.6,0.4,0.6,0.8,0.4,0.4
62,1,2,-1,21,2.4,0.4,0.4,0.7,0.9,2.2,0.4,2,0.8,0.7,0.4,4.5,0.8,0.4,0.4,6.9,1.9,0.4,0.6,0.4,4.4,0.8,1.9,0.9,0.4,0.8,0.8,0.4,0.4
63,2,3,0,57,1.2,0.4,0.4,0.4,0.4,1.1,0.4,1.2,0.4,0.4,0.4,4,0.4,0.4,0.4,4.2,0.9,0.4,0.4,0.4,2.7,0.4,0.9,0.5,0.4,0.7,0.4,0.4,0.4
64,2,3,0,57,1.2,0.4,0.4,0.4,0.4,1.5,0.4,1.3,0.4,0.4,0.4,5.1,0.5,0.4,0.4,4.5,1.1,0.4,0.4,0.4,3.1,0.4,0.8,0.7,0.4,0.6,0.5,0.4,0.4
65,2,3,-1,21,1.9,0.6,0.4,0.4,0.7,2.9,0.4,2.1,0.4,0.4,0.4,5.9,0.8,0.4,0.4,9.1,2.1,0.4,0.4,0.4,4.7,0.8,1.7,0.8,0.4,0.6,0.4,0.4,0.4
66,2,3,-1,21,1.4,0.4,0.4,0.4,0.6,1.8,0.4,1.3,0.4,0.4,0.4,3.3,0.5,0.4,0.4,5.2,1,0.4,0.4,0.4,2.7,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.4
67,1,3,0,57,1.2,0.4,0.4,0.4,0.4,1.3,0.4,1.4,0.4,0.4,0.4,5.5,0.7,0.4,0.4,5.6,1.8,0.4,0.4,0.4,3.9,0.6,1.1,0.9,0.4,0.7,0.7,0.4,0.4
68,1,3,0,57,1.2,0.4,0.4,0.4,0.4,1.3,0.4,1.4,0.4,0.4,0.4,4.5,0.5,0.4,0.4,4.3,1.1,0.4,0.4,0.4,2.8,0.5,0.6,0.4,0.4,0.6,0.4,0.4,0.4
69,1,3,-1,21,2,0.4,0.4,0.7,0.8,2.2,0.4,1.9,0.6,0.6,0.4,3.7,0.7,0.4,0.4,6.4,1.5,0.4,0.4,0.4,3.4,0.4,1,0.6,0.4,0.6,0.6,0.4,0.4
70,1,3,-1,21,1.6,0.4,0.4,0.4,0.7,2.2,0.4,1.6,0.4,0.4,0.4,3.7,0.6,0.4,0.4,5.4,1.6,0.4,0.4,0.4,2.9,0.4,0.8,0.7,0.4,0.4,0.4,0.4,0.4
71,2,1,0,57,1.1,0.4,0.4,0.4,0.7,2.4,0.4,1.8,0.4,0.4,0.4,6.5,0.6,0.4,0.4,7.2,1.8,0.4,0.4,0.4,5.3,0.5,1.3,0.9,0.4,1.1,0.9,0.4,0.4
72,2,1,0,57,1.1,0.4,0.4,0.4,0.4,2.3,0.4,2.1,0.4,0.4,0.4,8.6,0.7,0.4,0.4,10,2.6,0.4,0.4,0.4,6.3,0.8,1.6,0.9,0.4,0.8,0.9,0.4,0.4
73,2,1,-1,21,2.3,0.4,0.4,0.7,0.9,4.9,0.4,3.5,0.6,0.4,0.4,9.5,1.8,0.4,0.4,16.5,3.5,0.4,0.4,0.7,9.3,1,2.8,1.2,0.4,1.2,1.8,0.4,0.4
74,2,1,-1,21,2.4,0.6,0.4,0.4,1.3,6.6,0.4,4.7,0.8,0.4,0.4,9.9,2.2,0.4,0.4,16.1,3.3,0.4,0.9,0.6,7.8,1.2,3.1,1,0.4,1,1.2,0.4,0.4
75,1,1,0,57,1.9,0.4,0.4,0.4,0.5,2.8,0.4,2.5,0.4,0.4,0.4,9.9,1.1,0.4,0.4,11,3,0.4,0.5,0.6,7.3,0.8,2,1.3,0.6,1.5,1.3,0.5,0.4
76,1,1,0,57,1.2,0.4,0.4,0.4,0.4,2.4,0.4,2.4,0.5,0.4,0.4,6.9,0.7,0.4,0.4,7.3,1.5,0.4,0.4,0.4,4.2,0.6,1.2,0.7,0.4,0.9,0.8,0.4,0.4
77,1,1,-1,21,2.6,0.7,0.4,0.9,1.3,3.5,0.6,2.2,0.9,0.8,0.4,6.3,1.3,0.8,0.4,10.4,2.7,0.4,0.9,0.6,6.2,1.1,2.4,1.4,0.6,1.2,1.3,0.7,0.4
78,1,1,-1,21,1.9,0.4,0.4,0.4,0.7,4.7,0.4,2.9,0.5,0.4,0.4,9.1,1.9,0.4,0.4,17.3,3.8,0.4,0.6,0.6,9.2,0.9,2.2,1.2,0.4,0.9,0.9,0.4,0.4
