"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSQ165","FSQ012","FSD012N","FSD230","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
73589,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73590,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,2,,1,1,12,1,99,,,
73591,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
73592,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73593,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
73594,2,2,2,1,1,1,2,2,2,,1,1,3,2,2,,2,2,4,4,3,1,2,,,,,,1,,,,,,,,,,
73595,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73596,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73597,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73599,1,1,2,1,1,1,2,1,2,,1,2,3,2,2,,2,2,4,4,3,1,1,1,2,2,60,350,1,,,,,,,,,,
73600,1,2,1,1,1,1,2,2,2,,2,2,3,2,2,,2,2,4,4,3,1,1,1,1,2,106,200,2,,,,,,,,,,
73601,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,0,2,,,,
73603,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73604,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73605,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73606,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73607,3,3,3,,,,,,,,,,,,,,,,1,1,,1,1,1,2,1,21,15,,,,,,,,,,,
73608,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
73609,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,7,292,1,,,1,1,60,1,1,,,
73610,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73611,2,2,2,1,1,1,2,2,2,,1,1,3,2,2,,2,2,4,4,3,1,2,,,,,,1,1,1,1,1,43,1,6,,,
73612,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,3,1,25,375,2,,,2,1,48,1,2,,,
73613,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,1,5,346,2,,,,,,,,,,
73614,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,2,,,,,,,,,,
73615,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73616,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73617,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
73618,2,2,3,2,,1,2,1,2,,2,3,3,2,2,,2,2,3,3,2,2,2,,,,,,2,,,,,,,,,,
73619,2,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,2,,,,,,,,,,
73620,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
73621,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73622,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73623,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73624,2,2,2,2,,2,2,2,,,3,2,3,2,2,,2,2,3,3,2,1,1,1,6,1,1,713,1,,,,,,,,1,2,2
73625,1,1,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,1,,,,,,,,,,
73626,1,2,2,2,,1,2,2,2,,3,3,3,,,,,,3,3,1,2,2,,,,,,2,,,,,,,,,,
73627,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,,0,2,,,,
73628,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73629,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73630,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73631,2,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,1,1,1,1,4,135,2,,,,,,,,,,
73632,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73633,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73634,2,2,3,1,2,2,2,2,2,,,,,,,,,,3,3,,1,1,1,1,1,28,189,2,,,,,,,,,,
73635,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,1,2,2,1,99,,,
73636,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,1,1,1,1,23,1,1,,,
73637,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,5,1,10,700,2,9,,1,2,999,1,3,,,
73638,1,1,1,1,1,1,2,2,2,,,,,,,,,,4,4,,2,1,2,,,,,,,,,,,,,,,
73639,3,2,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,2,,,,,1,,,,,,,,,,
73640,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73641,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,1,1,26,120,,,,,,,,,,,
73642,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73643,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73644,2,2,2,1,3,1,1,1,2,,2,2,3,2,2,,2,2,4,4,3,2,1,1,6,1,13,200,2,,,1,1,12,1,1,,,
73645,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73646,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
73647,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,,,,,,,,,,,
73648,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73649,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,5,1,24,460,1,2,,1,1,18,1,2,,,
73650,2,2,2,2,,2,2,2,,,2,2,3,2,2,,1,2,3,3,3,2,2,,,,,,2,,,2,2,0,2,,,,
73651,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
73652,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,2,,,,,,,,,,
73653,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,4,1,2,640,2,,,1,1,60,1,3,,,
73654,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73655,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,,,,,,,,,,
73656,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73657,2,2,2,2,,2,1,2,2,,3,3,3,,,,,,3,3,1,2,1,1,3,1,22,100,1,,,,,,,,,,
73658,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73659,2,2,2,2,,2,2,2,,,,,,,,,,,3,3,,2,2,,,,,,,,,,,,,,,,
73660,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73661,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,2,,,,,,,,,,
73662,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,2,1,32,189,2,,,,,,,,,,
73663,3,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,2,,,,,,,,,,
73664,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
73665,3,2,2,1,2,2,1,2,2,,,,,,,,,,3,3,,1,1,2,,,,,,,,,,,,,,,
73666,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73667,1,1,1,1,1,1,1,1,2,,1,2,2,2,2,,2,2,4,4,3,1,1,1,5,1,11,347,1,,,,,,,,,,
73668,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,,,,,,,,1,1,2
73669,2,2,2,1,3,2,2,2,2,,2,2,3,2,2,,2,2,3,3,3,1,1,1,1,1,18,525,1,1,1,1,1,48,1,7,,,
73670,3,3,3,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,55555,57,,,,,,,,,,,
73671,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73672,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73673,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73674,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73675,2,2,2,1,2,2,2,2,2,,3,3,3,,,,,,3,3,1,2,2,,,,,,1,,,,,,,,,,
73676,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73677,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73678,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,2,1,59,510,2,,,,,,,,,,
73679,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,1,2,1,2,6,1,4,,,
73680,1,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,1,,,,,,,,,,
73681,2,3,3,2,,1,2,2,2,,3,3,3,,,,,,2,2,1,2,1,1,5,1,26,500,2,,,1,1,48,1,3,,,
73682,1,2,3,1,3,1,2,2,2,,3,3,3,,,,,,3,3,1,2,1,1,1,1,25,300,2,2,,1,2,12,1,99,,,
73683,1,2,2,2,,1,2,2,2,,2,3,3,2,2,,2,2,3,3,2,1,2,,,,,,2,2,,2,2,0,2,,,,
73684,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73685,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,1,15,300,1,2,,2,,0,1,2,,,
73686,1,2,3,2,,2,1,2,2,,3,3,3,,,,,,3,3,1,1,1,1,5,1,10,187,2,,,1,1,60,1,4,,,
73687,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,2,2,0,2,,,,
73688,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73689,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73690,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73691,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,1,2,,,,,2,,,,,,,,,,
73692,1,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,,,,,,,,,,,
73693,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,1,1,13,107,,,,,,,,,,,
73694,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73695,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73696,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,1,2,6,1,99,,,
73697,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73698,1,1,1,1,2,1,1,2,2,,,,,,,,,,4,4,,2,2,,,,,,2,,,,,,,,,,
73699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73700,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,4,1,11,100,1,1,1,1,,10,1,2,,,
73701,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73702,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73703,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,4,1,31,77777,1,,,,,,,,,,
73704,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,,2,2,4,4,3,1,1,1,7,1,5,251,1,,,1,1,999,1,99,,,
73705,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
73706,1,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,1,2,,,,,2,,,,,,,,,,
73707,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,77,2,154,189,2,,,,,,,,,,
73708,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73709,3,3,2,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,2,,,,,,,,,,
73710,2,2,2,2,,2,2,2,,,3,2,3,2,2,,2,2,3,3,2,1,1,1,6,1,1,713,1,1,2,1,1,24,1,2,,,
73711,2,3,3,2,,2,2,2,,,2,3,3,2,2,,2,2,2,2,2,2,1,1,4,1,20,700,2,1,2,1,1,36,1,7,,,
73712,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73713,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,4,1,10,210,1,2,,2,2,0,1,5,,,
73714,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,2,,
73715,3,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,2,,,,,,,,,,
73716,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73717,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73718,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,3,2,66666,29,2,,,,,,,,,,
73719,2,2,3,2,,2,2,2,,,2,3,2,2,1,3,1,2,3,2,3,1,1,1,7,1,66,800,1,,,1,1,999,1,2,,,
73720,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73721,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73722,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73723,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73725,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73726,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,7,1,131,200,2,,,,,,,,,,
73727,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,3,1,23,431,1,1,1,1,1,36,1,3,,,
73728,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73729,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,2,,,,,,2,,,,,,,,,,
73730,2,2,2,1,3,1,2,2,2,,,,,,,,,,3,3,,1,1,1,1,1,21,200,2,,,,,,,,,,
73731,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73732,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73733,2,1,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,2,,,,,,,,,,
73734,1,1,1,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,1,1,3,1,10,290,2,1,2,1,1,60,1,99,,,
73735,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,3,1,20,260,1,,,,,,,,,,
73736,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,1,1,7,162,,,,,,,,,,,
73737,2,2,2,2,,2,2,2,,,2,2,3,2,2,,1,2,3,3,3,2,2,,,,,,2,,,,,,,,,,
73738,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73739,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,2,,,,,,,,,,
73740,2,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,2,,,,,,,,,,
73741,2,1,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,2,,,,,,,,,,
73742,1,1,2,2,,2,2,2,,,2,2,2,2,2,,2,2,3,3,3,1,1,1,4,1,10,25,1,,,1,1,60,1,99,,,
73743,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,1,1,1,,1,1,4,,,
73744,1,1,1,1,2,1,1,2,2,,2,2,2,1,2,,2,2,4,4,3,1,1,1,5,1,6,300,1,1,1,1,,9,2,,,,
73745,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,16,465,2,,,1,1,60,1,4,,,
73746,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73747,3,3,3,,,,,,,,,,,,,,,,1,1,,1,2,,,,,,,,,,,,,,,,
73748,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,1,1,3,1,20,700,1,1,1,1,,10,1,2,,,
73749,3,3,3,,,,,,,,,,,,,,,,1,1,,1,2,,,,,,,,,,,,,,,,
73750,3,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,1,1,1,2,174,667,1,,,2,2,0,2,,,,
73751,2,2,2,1,2,1,2,2,2,,,,,,,,,,4,4,,1,1,1,2,1,1,274,2,,,,,,,,,,
73752,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,1,1,4,1,1,,,
73753,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
73754,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,12,125,2,,,,,,,,,,
73755,1,1,2,1,1,2,2,2,2,,,,,,,,,,3,3,,2,2,,,,,,2,,,,,,,,,,
73756,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73757,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73758,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73759,2,2,2,2,,1,2,2,2,,3,3,3,,,,,,3,3,1,2,1,1,4,1,28,600,2,,,1,1,60,1,4,,,
73760,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73761,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,5,1,5,740,2,,,,,,,,,,
73762,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,1,8,,,
73763,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,2,,
73764,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73765,2,1,1,1,1,1,1,1,2,,2,2,2,2,2,,2,2,4,4,3,1,1,1,3,1,374,416,2,,,,,,,,,,
73766,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73767,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73768,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
73769,2,1,1,1,1,1,1,2,2,,,,,,,,,,4,4,,1,2,,,,,,,,,,,,,,,,
73770,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73771,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,2,,,,,,1,1,1,1,,3,1,2,,,
73772,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73773,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73774,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,,,,,,,,
73775,1,2,3,2,,2,2,2,,,2,3,3,2,2,,2,2,3,2,2,1,1,1,5,1,10,425,2,,,,,,,,,,
73776,1,1,2,1,2,1,2,1,2,,3,3,3,,,,,,3,4,1,1,2,,,,,,1,,,,,,,,,,
73777,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,374,250,1,1,2,1,1,60,1,1,,,
73778,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73779,3,3,3,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,5,189,,,,,,,,,,,
73780,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73781,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73782,3,3,3,,,,,,,,,,,,,,,,1,1,,1,1,1,2,1,4,329,,,,,,,,,,,
73783,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73784,1,1,1,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,1,2,,,,,2,,,1,1,36,1,2,,,
73785,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73786,1,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,1,1,4,1,6,443,2,,,,,,,,,,
73787,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,1,1,19,37,,,,,,,,,,,
73788,2,2,2,2,,1,1,2,2,,3,3,3,,,,,,3,3,1,2,1,1,4,1,13,246,2,,,1,1,60,1,1,,,
73789,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
73790,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73791,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,1,1,7,1,13,99999,2,,,1,1,60,2,,,,
73792,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73793,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,1,1,60,9,,,,
73794,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,1,16,700,2,,,1,1,999,1,99,,,
