"SEQN","FSD032A","FSD032B","FSD032C","FSD032D","FSD032E","FSD032F","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSQ450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSQ520","FSQ170","FSD170N","FSD180","FSD190","FSD200","FSQ162","FSD650C","FSD660C","FSD670C","FSD650M","FSD660M","FSD670M"
21017,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21018,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,3,2,,,2,,,,,,
21019,1,1,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,1,2,,2,2,2,,,,,,,,,2,0,2,,,1,,,,,,
21020,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21022,2,2,2,2,2,3,2,,2,2,2,,,,,,,,3,3,3,2,,,,,,,,2,2,2,2,,,2,0,2,,,1,1,1,24,,,
21023,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21024,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21025,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21026,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21027,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21028,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,1,1,1,1,,,
21029,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21030,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21031,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21032,3,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,2,,2,2,2,,,,,,,,,2,0,2,,,2,,,,,,
21033,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21034,2,2,3,,,,2,,2,2,2,,,,,,,,2,2,,1,2,,2,2,2,,,,,,,,,2,0,2,,,2,,,,,,
21035,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21036,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21037,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21038,3,3,2,3,2,3,1,2,1,2,2,2,,1,2,,2,2,3,3,3,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21039,1,2,2,,,,2,,2,2,2,,,,,,,,3,3,,2,2,,2,2,2,,,,,,,,,1,1,1,12,1,,,,,,,
21040,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,2,,,,,
21041,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21042,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,9,,,,,1,1,1,24,,,
21043,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,1,,,,,,
21044,1,1,2,3,3,3,1,1,1,2,2,2,,2,2,,2,2,3,4,1,1,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21045,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,5,1,,,2,,,,,,
21046,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,1,1,1,48,,,
21047,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21048,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21049,1,1,2,3,2,1,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,2,,2,2,2,,,,,,,,,2,0,2,,,2,,,,,,
21050,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21051,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21052,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21053,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,1,,,,,,
21054,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21055,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21056,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21057,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21058,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21059,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21060,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21061,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21062,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21063,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,1,,,,,,
21064,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,1,,,,,,
21065,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21066,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21067,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21068,2,2,2,,,,2,,2,2,2,,,,,,,,3,3,,2,2,,2,2,2,,,,,,,,,1,1,1,12,1,2,,,,,,
21069,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21070,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21071,2,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,1,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21072,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,2,,,,,
21073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,,
21074,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,1,2,2,,,2,,,,,,
21075,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,4,1,,,2,,,,,,
21076,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21077,2,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,,,,,,,,2,2,2,2,,,1,1,2,,,1,1,2,9,,,
21078,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21079,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21080,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21081,2,3,3,2,3,3,2,,2,2,2,,,,,,,,2,2,2,2,,,,,,,,2,2,2,2,,,1,3,1,,,1,1,1,4,,,
21082,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21083,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,3,2,,,2,,,,,,
21084,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21085,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21086,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21087,3,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,2,,2,2,2,,,,,,,,,1,3,2,,,2,,,,,,
21088,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21089,2,3,2,2,3,3,2,,2,2,2,,,,,,,,3,2,2,2,2,,2,2,2,,,,,,,,,2,0,2,,,1,,,,,,
21090,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21091,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21092,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,1,1,1,1,,,
21093,1,1,1,,,,1,1,1,2,2,2,,,,,,,4,4,,1,2,,2,2,2,,,,,,,,,1,2,1,12,1,,,,,,,
21094,3,3,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,2,3,2,,,,,,,,1,2,2,2,,2,1,1,2,,,2,,,,,,
21095,2,2,9,,,,2,,2,2,2,,,,,,,,2,2,,2,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21096,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21097,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,1,,,,,,
21098,3,2,3,3,3,3,1,3,2,2,2,2,,2,2,,2,2,2,2,1,1,,,,,,,,2,2,2,2,,,1,2,1,12,1,1,,,,,,
21099,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21100,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21101,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21102,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,2,1,2,11,,,
21103,2,3,3,3,3,3,1,2,1,2,1,2,,2,2,,2,2,3,3,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21104,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21105,2,2,3,,,,1,1,2,2,2,2,,,,,,,3,3,,2,2,,2,2,2,,,,,,,,,2,0,2,,,,,,,,,
21106,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,2,,,,,
21107,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21108,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21109,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21110,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21112,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21113,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,1,1,1,12,1,2,,,,,,
21114,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21115,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,1,1,2,,,1,,,,,,
21116,3,1,9,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,2,,2,2,2,,,,,,,,,2,0,2,,,2,,,,,,
21117,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21118,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21119,2,3,2,2,2,3,2,,1,2,2,2,,2,2,,2,2,3,3,3,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21120,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21121,2,2,2,2,2,3,1,2,2,2,2,2,,2,2,,2,2,3,3,3,2,,,,,,,,,,,,,,2,0,2,,,1,1,1,48,,,
21122,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21123,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21124,2,2,2,,,,1,1,1,1,2,2,,,,,,,4,4,,1,2,,2,2,2,,,,,,,,,2,0,2,,,,,,,,,
21125,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21126,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,2,,,,,
21127,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,1,1,2,,,1,1,1,12,,,
21128,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,1,1,1,11,,,
21129,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21130,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21131,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,4,1,12,1,1,1,1,49,,,
21132,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21133,2,2,3,1,3,3,1,3,1,1,2,2,,2,2,,2,2,3,3,2,2,,,,,,,,2,2,2,2,,,2,0,2,,,2,2,,,,,
21134,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21135,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,1,1,1,1,,,
21136,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21137,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
21140,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,4,1,12,1,1,,,,,,
21141,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21142,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21143,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21144,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21145,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21146,1,1,2,2,2,3,1,2,1,2,2,2,,2,2,,2,2,4,4,3,2,,,,,,,,2,2,2,2,,,1,1,2,,,1,1,1,4,,,
21147,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21148,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21149,1,1,2,1,3,3,2,,2,2,2,,,,,,,,3,3,2,2,2,,2,2,2,,,,,,,,,1,1,1,12,1,2,,,,,,
21150,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,1,,,1,1,1,1,,,
21151,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21152,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,2,,,,,
21153,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21154,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21155,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21156,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21157,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21158,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21159,3,3,2,2,2,3,2,,2,2,2,,,,,,,,3,2,3,2,2,,2,2,2,,,,,,,,,2,0,2,,,2,,,,,,
21160,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21161,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21162,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,1,,,,,,
21163,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21164,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21165,2,2,3,,,,2,,2,2,2,,,,,,,,2,2,,2,2,,2,2,2,,,,,,,,,1,1,1,12,1,,,,,,,
21166,2,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,,,,,,,,,,,,,,2,0,2,,,1,,,,,,
21167,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21168,1,1,1,1,1,1,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,,,,,,,,2,2,2,2,,,2,0,2,,,1,,,,,,
21169,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21170,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,2,,,,,
21171,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,1,1,1,9,1,2,,,,,,
21172,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21173,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21174,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21175,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21176,3,1,3,2,3,3,2,,2,2,2,,,,,,,,2,2,2,2,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21177,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,1,,,,,,
21178,1,1,1,,,,1,1,1,1,1,2,,,,,,,4,4,,2,1,10,2,2,2,2,,,,,,,,1,1,1,6,2,2,,,,,,
21179,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21180,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21181,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21182,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21183,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21184,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,1,3,2,,,1,,,,,,
21185,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21187,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,,2,2,4,4,3,1,,,,,,,,1,1,1,1,7,2,1,1,2,,,2,,,,,,
21188,1,2,2,3,3,3,1,2,1,1,2,2,,2,2,,2,2,3,4,1,1,,,,,,,,2,2,2,2,,,1,2,2,,,1,1,1,3,,,
21189,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21190,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21191,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,2,,,,,
21192,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21193,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21194,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,3,1,12,1,2,,,,,,
21195,2,2,2,,,,2,,2,1,2,2,,,,,,,3,3,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21196,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21197,2,2,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,,,,,,,,,,,,,,2,0,2,,,1,,,,,,
21198,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,3,1,12,1,1,1,1,23,,,
21199,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21200,1,1,1,2,1,2,1,1,1,1,2,2,,2,2,,2,2,4,4,3,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21201,2,3,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,2,3,2,2,,2,2,2,,,,,,,,,2,0,2,,,1,,,,,,
21202,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,1,2,,,1,,,,,,
21203,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,,,,,,,,,,,,,,2,0,2,,,2,2,,,,,
21204,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21205,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,1,2,,2,2,2,,,,,,,,,1,1,1,12,1,2,,,,,,
21206,2,2,2,2,3,3,2,,2,2,2,,,,,,,,3,3,2,2,2,,2,2,2,,,,,,,,,1,1,2,,,2,,,,,,
