"SEQN","OCD150","OCQ180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCQ295","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCD470G","OCD470","OCD480"
21194,1,40,,37,16,1,8,2,,2,2,,,,1,16,120,,,,,,,
21195,4,,,,,,,,,,,,,7,1,28,108,1,1,3,2,,,
21196,1,14,2,27,21,1,12,1,1,2,2,,,,2,,,,,,,,,
21199,4,,,,,,,,,,,,,3,1,31,492,1,1,9,2,,,
21201,4,,,,,,,,,,,,,2,1,6,3,2,,,,,,
21202,4,,,,,,,,,,,,,7,1,11,0,2,,,,4,,
21204,4,,,,,,,,,,,,,3,1,30,180,2,,,,,,
21205,4,,,,,,,,,,,,,6,1,39,84,1,2,,,,,
21206,4,,,,,,,,,,,,,6,4,,,,,,,,,
21209,1,38,,19,14,1,9,2,,2,1,2,,,1,16,60,,2,,,,,
21210,3,,,,,,,,,,,,,,4,,,,,,,,,
21211,2,,1,29,16,1,12,2,,2,1,1,6,,2,,,,,,,,,
21213,1,40,,31,18,2,216,2,,1,2,,,,1,16,360,,,,,,,
21214,1,30,1,40,4,1,3,2,,2,2,,,,2,,,,,,,1,3,42
21215,1,50,,29,10,1,9,1,15,2,1,1,1,,1,10,48,,2,,,,,
21216,1,4,2,31,18,5,168,2,,2,1,1,8,,2,,,,,,,,,
21217,4,,,,,,,,,,,,,3,1,16,276,2,,,,,,
21218,4,,,,,,,,,,,,,6,4,,,,,,,,,
21219,3,,,,,,,,,,,,,,1,1,24,1,2,,,,,
21220,1,40,,39,10,1,12,1,1,2,2,,,,1,12,84,,,,,4,,
21221,1,40,,23,38,1,0,2,,2,1,2,,,3,,48,,1,8,1,4,,
21223,1,35,,28,11,5,1,1,4,2,2,,,,1,16,24,,,,,,,
21224,4,,,,,,,,,,,,,6,1,13,120,2,,,,,,
21225,1,40,,40,8,3,36,1,2,2,1,1,4,,2,,,,,,,,,
21228,4,,,,,,,,,,,,,4,1,16,120,1,2,,,,,
21229,4,,,,,,,,,,,,,2,1,12,3,2,,,,4,,
21232,1,70,,25,1,1,108,2,,2,1,2,,,2,,,,,,,,,
21233,1,40,,31,23,1,156,2,,2,2,,,,2,,,,,,,,,
21239,4,,,,,,,,,,,,,4,4,,,,,,,,,
21240,4,,,,,,,,,,,,,6,1,11,72,2,,,,,,
21241,3,,,,,,,,,,,,,,4,,,,,,,,,
21242,1,45,,37,4,1,24,2,,2,2,,,,2,,,,,,,,,
21244,2,,2,38,4,99,72,2,,2,2,,,,2,,,,,,,4,,
21245,1,18,2,30,23,1,24,1,5,2,2,,,,2,,,,,,,,,
21247,1,60,,31,3,1,12,2,,2,2,,,,2,,,,,,,,,
21249,4,,,,,,,,,,,,,2,4,,,,,,,,,
21252,4,,,,,,,,,,,,,3,1,1,156,2,,,,,,
21253,4,,,,,,,,,,,,,3,1,28,240,1,1,8,2,,,
21256,1,50,,27,20,1,60,2,,2,2,,,,2,,,,,,,,,
21257,4,,,,,,,,,,,,,3,1,23,180,2,,,,,,
21258,4,,,,,,,,,,,,,6,4,,,,,,,,,
21260,4,,,,,,,,,,,,,2,4,,,,,,,,,
21263,4,,,,,,,,,,,,,3,1,19,480,2,,,,,,
21264,1,45,,32,28,1,180,1,1,2,1,1,8,,2,,,,,,,,,
21265,4,,,,,,,,,,,,,4,1,39,264,1,1,8,2,,,
21266,1,40,,31,3,1,12,2,,2,2,,,,2,,,,,,,,,
21267,4,,,,,,,,,,,,,1,1,21,0,2,,,,4,,
21270,4,,,,,,,,,,,,,3,1,12,36,2,,,,,,
21271,1,56,,41,1,1,4,2,,2,2,,,,1,1,144,,,,,,,
21272,1,40,,4,29,1,24,1,1,1,1,1,1,,1,1,96,,2,,,,,
21273,1,24,2,1,25,1,24,2,,1,1,1,6,,2,,,,,,,4,,
21274,1,35,,42,3,1,48,2,,2,2,,,,2,,,,,,,,,
21275,4,,,,,,,,,,,,,3,1,20,180,1,1,1,2,,,
21276,4,,,,,,,,,,,,,3,1,8,336,1,1,2,1,,,
21277,4,,,,,,,,,,,,,5,1,34,72,1,1,8,1,,,
21279,4,,,,,,,,,,,,,1,1,24,24,2,,,,4,,
21281,4,,,,,,,,,,,,,1,1,26,384,1,1,12,2,,,
21283,1,35,,40,7,5,240,2,,2,2,,,,2,,,,,,,,,
21285,1,20,2,30,10,1,12,2,,2,2,,,,1,11,48,,,,,,,
21286,1,16,1,2,25,1,1,2,,2,2,,,,2,,,,,,,,,
21287,2,,1,5,35,1,36,2,,2,2,,,,2,,,,,,,,,
21290,1,45,,28,27,1,24,2,,2,2,,,,2,,,,,,,,,
21291,4,,,,,,,,,,,,,3,1,6,120,2,,,,,,
21292,4,,,,,,,,,,,,,6,1,2,240,1,1,2,1,,,
21294,2,,1,40,5,1,72,2,,2,2,,,,2,,,,,,,,,
21295,4,,,,,,,,,,,,,3,1,9,360,2,,,,,,
21297,1,40,,43,7,4,60,2,,2,2,,,,1,22,288,,,,,,,
21298,4,,,,,,,,,,,,,1,1,5,120,2,,,,,,
21299,4,,,,,,,,,,,,,2,1,30,2,1,1,2,2,,,
21300,4,,,,,,,,,,,,,3,1,13,36,2,,,,,,
21302,1,40,,27,20,1,3,2,,2,2,,,,2,,,,,,,,,
21303,1,20,2,1,4,1,24,2,,2,2,,,,2,,,,,,,,,
21304,4,,,,,,,,,,,,,7,1,16,216,2,,,,,,
21305,4,,,,,,,,,,,,,3,1,5,420,2,,,,,,
21306,4,,,,,,,,,,,,,4,1,12,252,2,,,,,,
21307,1,19,2,28,11,1,1,2,,2,2,,,,1,12,120,,,,,,,
21309,4,,,,,,,,,,,,,3,1,32,96,1,1,8,2,,,
21310,4,,,,,,,,,,,,,1,1,30,60,1,1,4,1,4,,
21311,1,45,,18,16,2,84,2,,2,1,2,,,1,28,240,,1,8,1,,,
21313,1,40,,10,34,1,16,1,1,2,1,1,8,,1,34,16,,1,8,2,,,
21316,4,,,,,,,,,,,,,2,1,16,24,2,,,,,,
21317,1,24,2,42,16,1,24,2,,2,2,,,,1,14,480,,,,,,,
21318,4,,,,,,,,,,,,,1,1,6,24,2,,,,,,
21319,1,65,,3,31,1,132,1,2,1,1,1,6,,2,,,,,,,,,
21321,4,,,,,,,,,,,,,1,1,11,24,2,,,,,,
21323,3,,,,,,,,,,,,,,1,23,120,2,,,,,,
21325,1,60,,37,4,1,24,2,,2,1,2,,,2,,,,,,,,,
21326,1,60,,38,35,2,420,2,,1,1,1,4,,2,,,,,,,,,
21329,4,,,,,,,,,,,,,4,1,4,60,2,,,,,,
21331,4,,,,,,,,,,,,,4,4,,,,,,,,,
21332,1,35,,5,10,1,204,2,,2,2,,,,2,,,,,,,,,
21339,1,40,,41,7,4,168,2,,2,2,,,,2,,,,,,,2,,
21342,1,48,,28,27,1,8,1,2,1,1,1,5,,2,,,,,,,,,
21343,4,,,,,,,,,,,,,7,1,24,36,2,,,,,,
21344,1,40,,17,35,1,8,2,,2,2,,,,2,,,,,,,,,
21345,4,,,,,,,,,,,,,3,1,31,360,1,2,,,,,
21346,1,40,,4,30,1,12,2,,2,1,1,8,,1,35,132,,2,,,,,
21348,1,60,,42,16,1,36,2,,2,2,,,,2,,,,,,,,,
21349,1,50,,36,24,2,5,2,,1,1,1,7,,2,,,,,,,,,
21351,1,40,,19,2,1,6,2,,2,2,,,,2,,,,,,,2,,
21352,1,46,,2,27,1,60,2,,1,1,1,1,,2,,,,,,,,,
21353,4,,,,,,,,,,,,,1,1,40,120,2,,,,,,
21355,1,40,,41,22,1,12,2,,2,2,,,,1,16,108,,,,,,,
21356,2,,2,28,16,1,8,2,,2,1,2,,,1,6,72,,1,6,2,,,
21357,1,40,,20,30,4,300,1,1,2,1,1,3,,2,,,,,,,,,
21358,1,35,,25,11,1,2,2,,2,2,,,,1,19,12,,,,,,,
21359,4,,,,,,,,,,,,,6,1,7,180,1,2,,,,,
21360,1,48,,20,37,4,20,2,,2,1,1,2,,2,,,,,,,,,
21361,4,,,,,,,,,,,,,7,1,13,3,2,,,,,,
21362,1,40,,4,30,1,3,1,8,1,1,1,3,,1,19,48,,1,1,2,,,
21363,1,40,,39,22,1,120,2,,2,2,,,,2,,,,,,,4,,
21366,4,,,,,,,,,,,,,2,4,,,,,,,,,
21367,4,,,,,,,,,,,,,4,1,30,6,2,,,,,,
21371,4,,,,,,,,,,,,,3,1,30,480,1,1,8,2,,,
