"SEQN","OCD150","OCQ180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCQ295","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCD470G","OCD470","OCD480"
26507,1,96,,43,18,3,36,1,2,1,1,1,1,,2,,,,,,,,,
26508,1,24,2,38,22,1,7,2,,2,2,,,,1,2,180,,,,,1,16,41
26509,1,5,2,28,15,1,6,2,,2,2,,,,1,14,240,,,,,,,
26510,4,,,,,,,,,,,,,6,1,29,240,2,,,,,,
26511,4,,,,,,,,,,,,,3,4,,,,,,,,,
26513,1,60,,31,6,1,6,2,,2,2,,,,1,6,180,,,,,,,
26515,1,35,,38,23,1,1,2,,2,2,,,,1,20,24,,,,,,,
26516,1,55,,39,22,1,2,2,,2,2,,,,1,11,9,,,,,,,
26519,4,,,,,,,,,,,,,4,1,21,120,2,,,,,,
26523,4,,,,,,,,,,,,,3,1,33,348,1,1,8,1,,,
26525,1,39,,28,11,1,14,2,,2,2,,,,1,19,24,,,,,,,
26529,1,40,,8,1,5,48,2,,2,1,2,,,1,10,300,,2,,,4,,
26530,4,,,,,,,,,,,,,3,1,15,324,1,1,8,1,,,
26532,1,40,,36,7,1,36,2,,2,2,,,,2,,,,,,,,,
26536,4,,,,,,,,,,,,,3,1,23,324,1,1,8,2,,,
26537,1,43,,42,7,1,84,2,,2,2,,,,2,,,,,,,,,
26539,4,,,,,,,,,,,,,1,1,16,24,2,,,,,,
26541,1,16,2,26,9,1,12,2,,2,2,,,,1,9,12,,,,,,,
26544,4,,,,,,,,,,,,,3,1,31,324,2,,,,,,
26545,3,,,,,,,,,,,,,,1,16,108,1,2,,,,,
26546,1,36,,38,22,1,24,2,,2,2,,,,2,,,,,,,,,
26547,4,,,,,,,,,,,,,7,1,35,120,2,,,,,,
26548,4,,,,,,,,,,,,,2,1,27,3,2,,,,,,
26549,1,10,2,40,23,1,4,2,,2,2,,,,1,24,5,,,,,,,
26550,4,,,,,,,,,,,,,2,1,30,0,2,,,,,,
26552,4,,,,,,,,,,,,,1,1,2,36,1,2,,,,,
26553,4,,,,,,,,,,,,,6,1,19,96,2,,,,4,,
26554,1,25,2,40,7,3,12,2,,2,2,,,,1,5,84,,,,,,,
26555,4,,,,,,,,,,,,,7,1,11,6,2,,,,,,
26556,4,,,,,,,,,,,,,7,1,21,1,2,,,,,,
26561,1,60,,29,1,1,84,2,,2,2,,,,2,,,,,,,,,
26563,1,40,,4,36,4,264,2,,1,1,1,8,,2,,,,,,,,,
26564,4,,,,,,,,,,,,,6,1,34,84,1,1,7,1,,,
26565,1,40,,39,22,1,24,2,,2,2,,,,2,,,,,,,,,
26566,1,40,,19,2,1,156,2,,2,2,,,,2,,,,,,,,,
26567,4,,,,,,,,,,,,,3,1,30,720,1,1,10,2,,,
26568,4,,,,,,,,,,,,,2,1,23,12,2,,,,,,
26569,4,,,,,,,,,,,,,7,1,31,48,2,,,,4,,
26571,4,,,,,,,,,,,,,1,4,,,,,,,,,
26572,1,40,,28,11,1,12,2,,2,2,,,,1,11,48,,,,,,,
26573,4,,,,,,,,,,,,,1,4,,,,,,,,,
26574,1,27,2,40,21,4,180,2,,2,2,,,,2,,,,,,,,,
26577,4,,,,,,,,,,,,,3,1,3,384,2,,,,,,
26578,4,,,,,,,,,,,,,7,1,27,3,2,,,,,,
26579,4,,,,,,,,,,,,,6,1,40,30,1,2,,,,,
26580,1,50,,31,1,1,12,2,,2,1,2,,,1,34,36,,1,3,1,,,
26581,1,24,2,34,37,1,168,1,1,1,1,2,,,1,25,300,,2,,,,,
26584,2,,1,18,16,1,276,2,,1,1,1,1,,2,,,,,,,,,
26585,1,50,,19,1,1,288,2,,2,2,,,,2,,,,,,,,,
26586,3,,,,,,,,,,,,,,1,16,12,2,,,,,,
26588,1,30,1,4,37,5,60,2,,1,1,2,,,2,,,,,,,,,
26589,2,,1,45,15,2,60,2,,2,1,2,,,1,15,108,,2,,,,,
26590,4,,,,,,,,,,,,,2,1,5,6,2,,,,,,
26592,1,56,,20,35,1,11,1,1,2,2,,,,2,,,,,,,,,
26601,4,,,,,,,,,,,,,1,1,11,5,2,,,,,,
26602,2,,2,36,11,1,5,2,,2,1,2,,,1,16,36,,2,,,,,
26603,4,,,,,,,,,,,,,3,1,28,360,1,1,1,2,,,
26607,4,,,,,,,,,,,,,3,1,35,264,2,,,,,,
26609,1,40,,18,35,1,72,2,,2,2,,,,2,,,,,,,,,
26610,1,30,2,27,19,1,6,1,1,2,1,2,,,2,,,,,,,,,
26611,1,40,,31,1,1,0,2,,2,2,,,,2,,,,,,,,,
26612,4,,,,,,,,,,,,,3,4,,,,,,,,,
26613,1,40,,19,29,1,48,2,,2,1,2,,,2,,,,,,,,,
26614,3,,,,,,,,,,,,,,4,,,,,,,,,
26616,4,,,,,,,,,,,,,3,1,31,444,1,1,8,1,,,
26617,1,40,,44,13,4,24,2,,2,2,,,,1,13,96,,,,,,,
26620,1,36,,42,2,5,156,2,,2,2,,,,2,,,,,,,,,
26622,1,40,,36,18,1,12,2,,2,2,,,,2,,,,,,,,,
26624,1,40,,16,31,1,96,2,,2,2,,,,2,,,,,,,,,
26625,4,,,,,,,,,,,,,5,1,13,36,2,,,,,,
26631,1,10,2,40,6,1,2,2,,2,2,,,,1,16,9,,,,,,,
26632,4,,,,,,,,,,,,,3,1,8,264,1,1,1,2,,,
26634,4,,,,,,,,,,,,,3,4,,,,,,,,,
26636,4,,,,,,,,,,,,,3,1,5,180,2,,,,,,
26637,1,20,2,1,25,5,600,2,,2,1,2,,,2,,,,,,,,,
26638,4,,,,,,,,,,,,,3,1,9,60,2,,,,,,
26640,4,,,,,,,,,,,,,5,4,,,,,,,,,
26641,4,,,,,,,,,,,,,3,1,30,600,1,1,4,1,,,
26642,4,,,,,,,,,,,,,6,1,23,36,2,,,,,,
26643,1,50,,25,9,1,18,2,,2,2,,,,1,22,60,,,,,,,
26645,4,,,,,,,,,,,,,1,1,31,12,2,,,,,,
26647,4,,,,,,,,,,,,,3,1,31,468,1,1,8,2,,,
26649,4,,,,,,,,,,,,,4,1,31,276,1,1,2,1,,,
26650,1,46,,17,39,4,3,1,1,2,2,,,,2,,,,,,,,,
26653,4,,,,,,,,,,,,,3,4,,,,,,,,,
26654,1,50,,38,4,1,276,2,,2,2,,,,2,,,,,,,,,
26656,1,24,1,27,11,1,12,2,,2,2,,,,2,,,,,,,,,
26661,1,52,,31,35,1,22,2,,2,2,,,,2,,,,,,,,,
26662,4,,,,,,,,,,,,,6,1,28,216,1,1,12,2,,,
26663,1,2,2,40,5,4,6,2,,2,2,,,,2,,,,,,,,,
26665,4,,,,,,,,,,,,,7,4,,,,,,,,,
26666,4,,,,,,,,,,,,,3,1,3,372,1,1,4,2,,,
26667,1,36,,41,29,3,18,2,,2,1,2,,,1,34,84,,1,8,1,,,
26668,1,60,,4,30,1,4,2,,2,2,,,,2,,,,,,,,,
26670,4,,,,,,,,,,,,,7,1,21,24,2,,,,,,
26671,1,56,,4,30,5,108,1,1,2,1,1,2,,2,,,,,,,,,
26672,4,,,,,,,,,,,,,3,1,23,240,2,,,,,,
26673,4,,,,,,,,,,,,,6,1,24,120,2,,,,,,
26674,1,6,1,31,17,5,3,2,,2,2,,,,1,26,192,,,,,,,
26675,4,,,,,,,,,,,,,3,1,11,120,2,,,,,,
26676,4,,,,,,,,,,,,,7,4,,,,,,,,,
26677,1,10,2,34,32,1,3,2,,2,2,,,,2,,,,,,,,,
26681,3,,,,,,,,,,,,,,1,16,48,1,1,1,2,,,
26682,1,40,,44,6,3,396,2,,2,2,,,,2,,,,,,,,,
26684,1,40,,21,31,1,168,2,,2,1,1,8,,2,,,,,,,,,
26685,1,40,,4,30,5,96,1,8,1,2,,,,1,31,156,,,,,,,
26687,1,50,,27,20,1,36,1,1,2,1,1,6,,2,,,,,,,,,
26688,4,,,,,,,,,,,,,3,1,22,0,2,,,,,,
26689,1,40,,21,31,1,36,1,1,2,1,2,,,2,,,,,,,,,
26690,1,15,2,23,11,1,8,1,1,2,2,,,,2,,,,,,,,,
26692,1,80,,38,4,3,3,2,,2,2,,,,1,8,72,,,,,,,
26693,4,,,,,,,,,,,,,2,1,16,2,2,,,,,,
26695,4,,,,,,,,,,,,,2,4,,,,,,,,,
26696,1,27,1,31,2,1,96,2,,2,2,,,,2,,,,,,,,,
26697,4,,,,,,,,,,,,,3,1,3,444,1,1,1,2,,,
26698,4,,,,,,,,,,,,,1,4,,,,,,,,,
26699,4,,,,,,,,,,,,,3,1,31,216,2,,,,,,
26700,4,,,,,,,,,,,,,7,4,,,,,,,,,
26702,4,,,,,,,,,,,,,6,1,9,120,1,2,,,,,
26707,4,,,,,,,,,,,,,2,4,,,,,,,,,
26708,4,,,,,,,,,,,,,3,1,11,0,2,,,,,,
26711,4,,,,,,,,,,,,,3,1,19,99999,1,2,,,,,
26715,1,24,2,3,31,1,6,1,8,2,2,,,,1,37,3,,,,,,,
26716,2,,1,37,8,1,12,2,,2,2,,,,2,,,,,,,,,
26718,4,,,,,,,,,,,,,3,1,9,384,2,,,,,,
26719,4,,,,,,,,,,,,,3,1,11,120,2,,,,,,
26720,1,45,,37,4,5,36,2,,2,2,,,,2,,,,,,,,,
26721,4,,,,,,,,,,,,,3,1,32,144,1,1,8,1,,,
26722,4,,,,,,,,,,,,,4,1,31,18,1,2,,,,,
26723,1,50,,4,2,1,120,2,,1,1,1,1,,2,,,,,,,,,
26725,1,40,,29,1,1,36,2,,2,2,,,,2,,,,,,,,,
26726,4,,,,,,,,,,,,,3,1,33,300,1,1,8,2,,,
26727,1,5,2,32,40,1,24,2,,2,1,1,2,,2,,,,,,,,,
26728,4,,,,,,,,,,,,,3,1,1,372,2,,,,,,
26729,4,,,,,,,,,,,,,3,1,4,240,2,,,,,,
26732,1,16,2,18,35,1,12,2,,2,2,,,,1,21,36,,,,,,,
26733,1,40,,44,14,4,264,2,,2,2,,,,2,,,,,,,,,
26735,4,,,,,,,,,,,,,2,4,,,,,,,,,
26736,1,48,,4,37,1,8,2,,2,2,,,,1,11,96,,,,,,,
26738,4,,,,,,,,,,,,,3,1,32,348,2,,,,,,
26739,4,,,,,,,,,,,,,6,4,,,,,,,,,
26741,4,,,,,,,,,,,,,1,1,14,192,2,,,,,,
26742,4,,,,,,,,,,,,,2,1,16,1,2,,,,,,
26743,4,,,,,,,,,,,,,2,1,24,4,1,1,1,2,,,
26744,4,,,,,,,,,,,,,3,1,32,12,2,,,,,,
26745,4,,,,,,,,,,,,,3,1,7,300,2,,,,,,
26747,4,,,,,,,,,,,,,2,1,8,1,2,,,,4,,
26748,4,,,,,,,,,,,,,7,1,28,12,1,1,5,2,,,
26750,1,40,,5,31,1,3,2,,1,1,1,8,,2,,,,,,,,,
26752,4,,,,,,,,,,,,,1,1,16,84,2,,,,,,
26753,1,40,,28,6,1,96,2,,2,2,,,,1,19,168,,,,,,,
26755,4,,,,,,,,,,,,,3,1,1,360,2,,,,,,
26756,1,20,2,38,16,99,3,2,,2,2,,,,1,21,24,,,,,4,,
26757,1,50,,41,7,4,240,2,,2,2,,,,2,,,,,,,2,,
26759,1,40,,19,12,1,18,2,,2,2,,,,2,,,,,,,,,
26760,1,20,2,38,22,1,8,2,,2,2,,,,1,21,24,,,,,,,
26762,4,,,,,,,,,,,,,2,4,,,,,,,,,
26766,4,,,,,,,,,,,,,5,1,40,8,2,,,,4,,
26767,1,50,,18,16,2,240,2,,2,2,,,,2,,,,,,,,,
26768,4,,,,,,,,,,,,,3,1,5,156,2,,,,,,
26769,2,,2,24,11,1,15,2,,2,2,,,,2,,,,,,,,,
26770,1,40,,19,16,1,12,2,,2,1,2,,,2,,,,,,,,,
26771,1,40,,23,11,1,24,1,1,2,1,2,,,2,,,,,,,,,
26773,4,,,,,,,,,,,,,6,1,35,456,1,1,3,1,,,
26775,4,,,,,,,,,,,,,3,4,,,,,,,,,
26777,1,24,2,27,19,1,96,1,6,2,2,,,,2,,,,,,,,,
26778,1,35,,23,9,1,24,1,1,2,2,,,,1,11,96,,,,,,,
26779,4,,,,,,,,,,,,,2,4,,,,,,,,,
26781,1,30,1,25,39,1,18,2,,2,2,,,,2,,,,,,,,,
26782,1,46,,11,31,1,144,2,,1,1,1,8,,2,,,,,,,,,
26784,1,70,,37,13,1,9,1,1,2,2,,,,1,4,156,,,,,,,
26785,4,,,,,,,,,,,,,3,1,2,300,1,2,,,,,
26786,1,40,,19,14,1,48,2,,2,2,,,,1,16,120,,,,,,,
26790,1,50,,16,34,1,3,1,3,2,2,,,,2,,,,,,,,,
26794,4,,,,,,,,,,,,,1,4,,,,,,,,,
26795,1,44,,13,33,1,7,2,,1,1,1,12,,1,27,12,,2,,,4,,
26796,4,,,,,,,,,,,,,1,1,22,216,2,,,,3,,39
26799,4,,,,,,,,,,,,,3,1,16,384,2,,,,,,
26801,1,33,2,42,14,1,96,2,,2,2,,,,2,,,,,,,,,
26802,2,,1,40,5,3,24,2,,2,1,2,,,2,,,,,,,,,
26803,4,,,,,,,,,,,,,6,1,30,540,1,2,,,,,
26804,4,,,,,,,,,,,,,4,4,,,,,,,,,
26806,4,,,,,,,,,,,,,3,1,19,168,2,,,,,,
26809,1,40,,15,34,1,300,2,,1,1,1,8,,2,,,,,,,,,
26811,1,25,2,30,10,1,168,2,,2,2,,,,2,,,,,,,,,
26812,4,,,,,,,,,,,,,3,1,36,636,1,1,8,2,,,
26813,4,,,,,,,,,,,,,2,1,11,3,2,,,,,,
26815,4,,,,,,,,,,,,,3,1,30,156,1,1,4,2,,,
26817,1,45,,4,1,3,348,2,,2,1,2,,,2,,,,,,,,,
26818,4,,,,,,,,,,,,,3,1,20,96,2,,,,,,
26819,1,45,,25,28,1,120,2,,2,1,1,9,,2,,,,,,,,,
26821,1,50,,25,1,1,12,2,,2,2,,,,2,,,,,,,,,
26822,1,40,,38,15,3,240,2,,2,2,,,,2,,,,,,,,,
26825,4,,,,,,,,,,,,,7,1,20,2,2,,,,,,
26826,1,30,2,36,11,1,3,2,,2,2,,,,1,23,12,,,,,,,
26827,1,39,,42,8,1,24,2,,2,2,,,,1,16,96,,,,,1,14,32
26828,4,,,,,,,,,,,,,2,4,,,,,,,,,
26829,1,15,1,28,11,5,132,1,1,2,1,2,,,1,30,60,,1,4,2,,,
26830,1,40,,6,40,1,8,1,1,2,2,,,,2,,,,,,,,,
26832,4,,,,,,,,,,,,,3,1,9,360,2,,,,,,
26835,1,40,,41,7,3,120,2,,2,2,,,,2,,,,,,,,,
26836,4,,,,,,,,,,,,,3,1,3,480,2,,,,,,
26837,1,49,,19,29,1,18,2,,1,1,1,2,,3,,108,,1,8,1,,,
26840,4,,,,,,,,,,,,,6,1,9,300,2,,,,,,
26841,1,73,,13,33,1,4,2,,2,2,,,,1,31,36,,,,,,,
26842,4,,,,,,,,,,,,,6,1,21,480,2,,,,,,
26848,4,,,,,,,,,,,,,2,4,,,,,,,,,
26851,1,32,2,41,19,1,36,2,,2,2,,,,2,,,,,,,,,
26853,4,,,,,,,,,,,,,3,1,22,144,2,,,,,,
26854,1,40,,43,18,4,96,2,,1,1,1,1,,2,,,,,,,4,,
26855,1,40,,45,15,2,60,2,,2,2,,,,2,,,,,,,,,
26857,1,16,1,33,17,1,72,2,,2,2,,,,2,,,,,,,,,
26858,1,20,2,28,11,1,48,2,,2,2,,,,1,39,84,,,,,,,
26860,4,,,,,,,,,,,,,2,1,40,12,1,1,4,2,,,
26862,4,,,,,,,,,,,,,3,1,3,312,1,1,3,2,,,
26863,1,50,,4,35,1,252,2,,2,2,,,,2,,,,,,,,,
26864,1,38,,27,20,1,15,2,,2,2,,,,1,1,96,,,,,,,
26866,4,,,,,,,,,,,,,3,1,18,240,2,,,,,,
26867,1,40,,42,7,5,144,2,,2,2,,,,2,,,,,,,,,
26869,4,,,,,,,,,,,,,2,4,,,,,,,,,
26870,1,14,2,31,16,1,12,2,,2,2,,,,2,,,,,,,,,
26871,4,,,,,,,,,,,,,6,1,33,216,1,1,8,1,,,
26872,4,,,,,,,,,,,,,3,1,29,504,2,,,,,,
26873,1,40,,27,11,1,7,2,,2,1,2,,,2,,,,,,,,,
26874,4,,,,,,,,,,,,,4,1,11,84,2,,,,,,
26876,1,55,,42,1,1,84,2,,2,1,2,,,2,,,,,,,,,
26877,4,,,,,,,,,,,,,3,4,,,,,,,,,
26878,1,50,,42,7,1,504,2,,2,2,,,,2,,,,,,,,,
26879,4,,,,,,,,,,,,,6,4,,,,,,,,,
26880,1,45,,21,10,1,96,2,,2,1,2,,,2,,,,,,,,,
26881,1,37,,44,22,4,12,2,,2,2,,,,1,15,180,,,,,,,
26882,4,,,,,,,,,,,,,3,1,1,336,2,,,,,,
26883,4,,,,,,,,,,,,,3,1,35,276,1,2,,,,,
26884,1,40,,30,37,1,144,1,8,2,2,,,,2,,,,,,,,,
26885,4,,,,,,,,,,,,,3,1,16,240,2,,,,,,
26887,1,72,,4,2,5,300,2,,2,1,2,,,2,,,,,,,,,
26888,4,,,,,,,,,,,,,7,1,26,120,2,,,,,,
26889,4,,,,,,,,,,,,,3,1,1,708,2,,,,,,
26890,4,,,,,,,,,,,,,1,4,,,,,,,,,
26897,4,,,,,,,,,,,,,2,1,19,3,2,,,,4,,
26898,4,,,,,,,,,,,,,3,1,35,96,1,1,8,2,,,
26899,4,,,,,,,,,,,,,7,1,27,12,1,1,8,2,,,
26900,4,,,,,,,,,,,,,2,4,,,,,,,,,
26901,1,33,1,27,20,1,3,2,,2,2,,,,1,1,144,,,,,4,,
26902,1,55,,20,30,1,180,2,,1,2,,,,2,,,,,,,,,
26904,4,,,,,,,,,,,,,3,1,26,240,2,,,,,,
26906,4,,,,,,,,,,,,,3,1,34,276,1,2,,,,,
26907,4,,,,,,,,,,,,,5,4,,,,,,,,,
26908,1,40,,40,1,1,144,2,,2,2,,,,1,4,240,,,,,,,
26909,1,70,,21,1,1,36,2,,2,2,,,,1,1,108,,,,,1,2,12
26910,4,,,,,,,,,,,,,6,1,28,180,1,1,8,2,,,
26912,4,,,,,,,,,,,,,3,1,1,276,2,,,,,,
26913,4,,,,,,,,,,,,,3,1,31,468,1,1,8,2,,,
26914,4,,,,,,,,,,,,,3,1,26,144,2,,,,,,
26915,1,44,,40,35,1,168,2,,2,2,,,,2,,,,,,,,,
26916,1,15,2,21,1,5,144,2,,2,1,2,,,2,,,,,,,,,
26917,4,,,,,,,,,,,,,3,1,12,120,2,,,,,,
26919,4,,,,,,,,,,,,,3,1,9,300,1,2,,,,,
26920,1,55,,44,7,2,216,2,,1,1,1,1,,2,,,,,,,,,
26923,1,60,,40,1,3,108,2,,2,2,,,,2,,,,,,,,,
26924,4,,,,,,,,,,,,,2,4,,,,,,,,,
26928,1,36,,26,9,1,24,2,,2,2,,,,2,,,,,,,,,
26935,1,38,,27,20,1,1,2,,2,2,,,,1,11,9,,,,,,,
26936,1,50,,1,26,1,240,2,,1,1,1,4,,2,,,,,,,,,
26937,4,,,,,,,,,,,,,2,1,19,24,2,,,,,,
26939,4,,,,,,,,,,,,,3,1,31,252,1,1,6,1,,,
26940,1,50,,40,6,1,24,2,,2,2,,,,2,,,,,,,,,
26941,2,,1,30,10,1,10,2,,2,2,,,,1,16,204,,,,,,,
26950,4,,,,,,,,,,,,,2,1,3,48,2,,,,,,
26952,1,40,,20,36,1,3,1,3,2,1,1,3,,2,,,,,,,4,,
26953,4,,,,,,,,,,,,,3,1,18,360,1,1,1,1,,,
26954,4,,,,,,,,,,,,,3,1,29,192,2,,,,,,
26955,1,45,,4,30,1,4,1,1,1,1,1,1,,1,30,300,,1,5,2,,,
26956,4,,,,,,,,,,,,,6,1,29,468,1,1,7,2,,,
26957,1,5,2,30,10,1,2,2,,2,2,,,,2,,,,,,,,,
26958,3,,,,,,,,,,,,,,1,39,14,1,2,,,,,
26959,4,,,,,,,,,,,,,6,4,,,,,,,,,
26960,1,7,2,2,27,1,24,2,,2,2,,,,2,,,,,,,,,
26961,1,35,,30,23,1,8,2,,2,2,,,,1,10,540,,,,,,,
26962,1,70,,5,38,1,48,1,2,2,1,1,12,,2,,,,,,,,,
26963,4,,,,,,,,,,,,,2,4,,,,,,,,,
26964,4,,,,,,,,,,,,,3,1,33,48,1,1,8,2,,,
26966,4,,,,,,,,,,,,,3,1,12,240,2,,,,,,
26967,1,40,,14,3,1,180,2,,2,1,2,,,2,,,,,,,,,
26968,4,,,,,,,,,,,,,1,1,14,24,2,,,,,,
26969,4,,,,,,,,,,,,,3,1,29,420,1,1,9,1,,,
26972,4,,,,,,,,,,,,,1,1,26,288,2,,,,,,
26973,4,,,,,,,,,,,,,4,1,11,84,1,1,7,2,,,
26974,2,,1,39,8,1,192,2,,2,2,,,,2,,,,,,,,,
26975,1,40,,43,18,2,48,2,,1,2,,,,2,,,,,,,,,
26976,1,24,1,4,37,1,24,1,2,1,1,1,1,,2,,,,,,,,,
26978,4,,,,,,,,,,,,,6,1,31,180,2,,,,,,
26980,4,,,,,,,,,,,,,2,4,,,,,,,,,
26983,1,25,2,30,16,1,12,2,,2,2,,,,1,8,240,,,,,,,
26984,1,33,1,8,16,1,60,2,,2,1,2,,,1,34,84,,1,8,2,,,
26985,4,,,,,,,,,,,,,3,1,1,216,2,,,,,,
26986,1,60,,35,24,5,24,1,6,2,1,2,,,1,19,84,,1,1,2,,,
26989,1,48,,39,17,5,60,2,,2,2,,,,2,,,,,,,,,
26991,4,,,,,,,,,,,,,3,1,1,324,2,,,,,,
26992,1,21,2,40,13,1,0,2,,2,1,2,,,1,12,24,,2,,,,,
26993,4,,,,,,,,,,,,,3,1,30,480,2,,,,,,
26994,4,,,,,,,,,,,,,1,1,11,96,2,,,,,,
26995,1,32,2,31,35,1,1,2,,2,2,,,,1,11,6,,,,,4,,
26996,1,20,2,40,5,99,48,2,,2,1,1,4,,1,6,192,,1,2,2,,,
26997,4,,,,,,,,,,,,,2,1,8,24,2,,,,,,
26998,4,,,,,,,,,,,,,1,1,12,96,2,,,,,,
27001,1,50,,14,1,1,3,2,,2,2,,,,2,,,,,,,,,
27002,1,18,2,27,11,1,0,2,,2,2,,,,2,,,,,,,,,
27003,4,,,,,,,,,,,,,3,1,12,324,2,,,,,,
27004,4,,,,,,,,,,,,,2,4,,,,,,,,,
27005,4,,,,,,,,,,,,,3,1,29,120,2,,,,,,
27007,4,,,,,,,,,,,,,1,1,1,60,2,,,,,,
27008,1,60,,42,7,5,300,2,,2,1,2,,,2,,,,,,,,,
27009,4,,,,,,,,,,,,,3,1,29,600,2,,,,,,
27011,4,,,,,,,,,,,,,4,1,11,324,2,,,,,,
27014,4,,,,,,,,,,,,,4,1,30,156,2,,,,,,
27016,4,,,,,,,,,,,,,3,1,32,240,1,1,8,2,,,
27017,1,60,,8,39,1,60,2,,2,1,1,8,,2,,,,,,,,,
27018,1,45,,2,29,1,96,2,,2,2,,,,2,,,,,,,,,
27019,4,,,,,,,,,,,,,7,1,20,144,1,2,,,,,
27020,4,,,,,,,,,,,,,4,1,1,120,2,,,,,,
27023,4,,,,,,,,,,,,,3,1,36,216,2,,,,,,
27024,1,20,2,28,11,1,36,2,,2,1,2,,,1,30,420,,2,,,,,
27027,4,,,,,,,,,,,,,1,1,12,84,2,,,,4,,
27028,1,30,2,25,15,1,48,2,,1,2,,,,2,,,,,,,,,
27029,4,,,,,,,,,,,,,4,4,,,,,,,,,
27031,4,,,,,,,,,,,,,3,1,5,420,2,,,,,,
27032,1,60,,30,1,1,3,2,,2,2,,,,1,36,276,,,,,,,
27033,4,,,,,,,,,,,,,3,1,22,240,2,,,,,,
27036,1,40,,8,10,1,9,2,,2,2,,,,2,,,,,,,,,
27037,1,40,,42,2,1,348,2,,2,2,,,,2,,,,,,,,,
27038,4,,,,,,,,,,,,,1,1,31,6,2,,,,,,
27039,1,40,,44,12,2,60,2,,2,2,,,,2,,,,,,,,,
27040,1,40,,31,2,1,60,2,,2,2,,,,2,,,,,,,,,
27041,4,,,,,,,,,,,,,6,1,25,480,1,1,5,2,,,
27047,1,18,2,27,11,1,1,2,,2,2,,,,1,15,4,,,,,,,
27048,1,55,,4,30,1,156,2,,2,2,,,,2,,,,,,,,,
27049,4,,,,,,,,,,,,,2,4,,,,,,,,,
27050,4,,,,,,,,,,,,,3,1,5,144,2,,,,,,
27051,4,,,,,,,,,,,,,3,1,34,300,1,1,8,2,,,
27056,4,,,,,,,,,,,,,1,1,12,12,2,,,,,,
27057,1,70,,4,30,1,60,1,5,1,1,1,10,,1,30,240,,1,10,2,,,
27058,1,48,,12,18,1,36,2,,1,1,1,8,,2,,,,,,,,,
27059,1,5,2,4,37,5,360,1,9999,2,2,,,,2,,,,,,,,,
27060,1,160,,38,8,1,288,2,,2,2,,,,2,,,,,,,,,
27061,1,12,2,31,40,1,0,1,3,2,2,,,,1,40,0,,,,,4,,
27064,1,40,,41,7,3,384,2,,2,2,,,,2,,,,,,,,,
27066,1,30,2,35,24,5,216,2,,2,2,,,,2,,,,,,,,,
27068,4,,,,,,,,,,,,,1,1,11,2,2,,,,,,
27072,4,,,,,,,,,,,,,3,1,30,360,1,1,8,1,,,
27074,1,20,1,27,6,1,12,1,4,2,1,1,4,,1,11,24,,2,,,,,
27075,1,45,,27,19,1,144,2,,2,1,1,1,,2,,,,,,,4,,
27077,4,,,,,,,,,,,,,3,1,20,96,2,,,,,,
27078,4,,,,,,,,,,,,,6,1,30,108,1,1,12,2,,,
27079,4,,,,,,,,,,,,,4,1,16,9,2,,,,,,
27082,1,36,,4,30,1,2,1,2,2,2,,,,2,,,,,,,4,,
27084,1,60,,27,20,1,180,1,5,2,2,,,,2,,,,,,,,,
27085,4,,,,,,,,,,,,,3,1,31,420,1,1,4,1,,,
27086,1,60,,26,11,1,6,2,,2,2,,,,1,6,18,,,,,4,,
27088,3,,,,,,,,,,,,,,1,35,12,2,,,,,,
27091,1,40,,41,24,5,5,2,,2,2,,,,1,24,24,,,,,,,
27092,4,,,,,,,,,,,,,3,1,40,444,1,1,8,1,,,
27094,1,50,,35,32,1,120,2,,2,2,,,,2,,,,,,,,,
27098,1,50,,27,1,1,36,2,,2,1,2,,,1,9,300,,1,12,2,,,
27099,1,20,2,27,11,1,24,1,1,2,2,,,,2,,,,,,,,,
27100,1,40,,38,8,4,96,2,,2,2,,,,2,,,,,,,,,
27103,4,,,,,,,,,,,,,6,1,36,96,1,1,8,2,,,
27104,1,50,,32,28,5,156,2,,2,2,,,,2,,,,,,,,,
27105,1,22,2,2,16,1,6,2,,2,2,,,,2,,,,,,,,,
27107,4,,,,,,,,,,,,,6,1,24,108,1,1,3,2,,,
27108,4,,,,,,,,,,,,,3,1,10,60,2,,,,,,
27109,4,,,,,,,,,,,,,3,1,6,72,2,,,,,,
27111,3,,,,,,,,,,,,,,1,3,180,1,1,2,2,,,
27112,4,,,,,,,,,,,,,2,4,,,,,,,,,
27115,2,,2,40,8,99,24,2,,2,2,,,,2,,,,,,,,,
27117,1,38,,42,2,1,3,2,,2,2,,,,1,12,96,,,,,,,
27119,1,19,2,28,11,1,0,1,1,2,1,1,1,,2,,,,,,,,,
27123,1,50,,18,35,5,84,2,,2,1,2,,,3,,276,,1,8,1,,,
27124,1,20,1,40,3,3,36,2,,2,2,,,,2,,,,,,,,,
27129,4,,,,,,,,,,,,,3,1,24,144,2,,,,,,
27133,4,,,,,,,,,,,,,2,4,,,,,,,,,
27135,2,,2,32,40,1,120,2,,2,2,,,,2,,,,,,,4,,
27136,1,40,,15,31,1,8,2,,1,1,1,10,,2,,,,,,,,,
27137,4,,,,,,,,,,,,,7,1,16,5,2,,,,,,
27141,1,33,2,41,24,1,12,2,,2,2,,,,2,,,,,,,,,
