"SEQN","HOD010","HOD030","HOD040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOD140","HOD150","HOD160","HOD170","HOD180","HOD190","HOD210","HOD220"
10129,4,99,99,4,1,1,1,2,2,,2,,,2,,2
10130,1,,1,5,2,1,1,2,,,,,,,,
10131,2,,6,5,5,1,1,2,,,,,,,,
10132,2,,99,6,5,1,1,1,,,,,,,,
10133,3,,2,7,4,1,1,2,,,,,,,,
10134,2,,1,8,3,1,1,1,2,,2,,,2,,2
10135,2,,1,10,3,1,1,1,,,,,,,,
10136,2,,99,7,1,1,1,2,,,,,,,,
10137,1,,1,6,5,1,1,1,,,,,,,,
10138,1,,3,4,1,1,1,2,2,,1,2,,2,,2
10139,1,,1,5,1,1,1,2,,,,,,,,
10140,2,,6,8,5,1,2,2,,,,,,,,
10141,2,,1,8,1,1,1,2,,,,,,,,
10142,2,,4,7,5,1,1,2,,,,,,,,
10143,2,,2,6,3,1,1,2,,,,,,,,
10144,4,5,1,4,1,2,1,2,,,,,,,,
10145,4,3,3,4,2,2,1,2,,,,,,,,
10146,2,,3,8,5,1,2,1,,,,,,,,
10147,4,5,3,5,1,2,1,2,1,2,2,,,1,2,2
10148,4,7,99,4,4,2,1,1,,,,,,,,
10149,2,,3,8,1,1,1,2,,,,,,,,
10150,2,,6,6,1,2,1,2,,,,,,,,
10151,2,,2,9,5,1,1,2,,,,,,,,
10152,2,,3,6,3,1,1,2,2,,2,,,2,,2
10153,,,,,,,,,,,,,,,,
10154,2,,6,8,5,1,1,2,,,,,,,,
10155,2,,2,8,3,1,1,2,2,,2,,,2,,2
10156,2,,2,6,5,1,1,2,,,,,,,,
10157,4,5,99,4,2,2,1,1,,,,,,,,
10158,2,,3,9,3,1,1,2,,,,,,,,
10159,1,,99,4,2,1,1,2,,,,,,,,
10160,4,4,99,4,4,2,9,2,2,,1,2,,2,,2
10161,2,,3,8,1,3,1,2,,,,,,,,
10162,2,,3,6,5,1,1,2,,,,,,,,
10163,2,,99,2,3,2,1,2,,,,,,,,
10164,4,6,99,4,1,2,1,2,,,,,,,,
10165,2,,4,6,5,1,1,1,,,,,,,,
10166,2,,3,10,5,1,1,2,,,,,,,,
10167,4,4,5,4,5,2,9,2,,,,,,,,
10168,2,,6,6,5,1,1,2,,,,,,,,
10169,4,1,99,5,3,2,1,2,,,,,,,,
10170,1,,1,6,2,1,1,2,2,,2,,,2,,2
10171,1,,1,4,3,1,1,2,,,,,,,,
10172,2,,2,13,4,1,1,1,,,,,,,,
10173,3,,1,5,3,2,1,2,,,,,,,,
10174,1,,1,11,4,1,3,2,,,,,,,,
10175,2,,99,6,1,2,1,2,,,,,,,,
10176,2,,2,7,4,1,1,2,,,,,,,,
10177,2,,6,5,5,1,1,2,,,,,,,,
10178,2,,6,4,4,3,1,2,,,,,,,,
10179,3,,1,7,5,1,1,2,,,,,,,,
10180,3,,1,7,5,1,1,2,,,,,,,,
10181,2,,4,6,5,1,1,1,,,,,,,,
10182,2,,1,6,1,1,1,2,,,,,,,,
10183,2,,1,7,2,1,1,1,,,,,,,,
10184,2,,6,6,4,1,1,2,,,,,,,,
10185,1,,99,4,3,1,2,2,,,,,,,,
10186,4,5,99,5,1,2,1,2,,,,,,,,
10187,1,,99,4,4,1,1,2,,,,,,,,
10188,4,6,99,3,2,2,1,2,2,,2,,,2,,2
10189,3,,99,5,1,2,1,2,,,,,,,,
10190,4,6,99,3,1,2,1,2,,,,,,,,
10191,2,,99,5,3,1,1,1,,,,,,,,
10192,2,,3,6,2,1,1,2,,,,,,,,
10193,2,,3,4,3,2,1,2,,,,,,,,
10194,4,7,3,5,3,2,1,2,,,,,,,,
10195,4,7,3,5,3,2,1,2,,,,,,,,
10196,1,,1,5,2,1,1,1,,,,,,,,
10197,4,5,1,4,3,2,1,2,,,,,,,,
10198,4,4,1,5,1,2,1,2,,,,,,,,
10199,2,,4,5,3,1,1,1,,,,,,,,
10200,2,,99,9,3,1,1,2,,,,,,,,
10201,2,,2,8,4,1,2,2,,,,,,,,
10202,2,,4,7,3,1,1,1,,,,,,,,
10203,2,,2,9,3,1,1,1,,,,,,,,
10204,2,,6,8,5,1,1,2,,,,,,,,
10205,2,,3,5,5,1,1,2,,,,,,,,
10206,4,5,99,6,1,2,1,1,,,,,,,,
10207,2,,4,4,1,1,1,2,,,,,,,,
10208,2,,4,7,4,1,1,2,,,,,,,,
10209,2,,99,6,1,2,1,2,,,,,,,,
10210,2,,99,6,3,2,1,2,,,,,,,,
10211,2,,2,7,4,1,2,2,,,,,,,,
10212,2,,2,6,3,1,1,2,1,2,2,,,2,,2
10213,2,,99,4,4,2,1,2,2,,1,2,,1,1,2
10214,1,,2,4,2,1,1,2,,,,,,,,
10215,2,,99,6,5,1,1,2,,,,,,,,
10216,6,,4,13,1,2,1,2,,,,,,,,
10217,2,,1,7,4,1,1,2,1,2,2,,,2,,2
10218,3,,4,7,1,1,1,2,,,,,,,,
10219,2,,6,5,4,1,1,2,,,,,,,,
10220,1,,99,3,1,2,1,2,,,,,,,,
10221,1,,1,6,1,1,1,2,,,,,,,,
10222,1,,2,4,1,1,1,2,,,,,,,,
10223,2,,3,9,5,1,1,2,,,,,,,,
10224,2,,2,5,5,1,1,2,,,,,,,,
10225,2,,2,8,4,1,1,1,,,,,,,,
10226,2,,5,3,4,1,1,1,,,,,,,,
10227,2,,6,7,5,1,1,2,,,,,,,,
10228,4,3,99,6,4,3,1,2,,,,,,,,
10229,3,,2,7,4,1,1,2,,,,,,,,
10230,2,,2,7,5,1,1,2,,,,,,,,
10231,3,,5,9,3,1,1,1,,,,,,,,
10232,2,,2,11,5,1,1,2,,,,,,,,
10233,4,3,99,4,3,2,1,2,,,,,,,,
10234,2,,3,8,4,1,1,2,,,,,,,,
10235,3,,99,3,1,2,1,1,,,,,,,,
10236,4,5,99,4,3,2,1,2,,,,,,,,
10237,2,,3,6,4,2,1,2,,,,,,,,
10238,2,,4,4,3,2,1,2,,,,,,,,
10239,2,,99,7,5,1,1,2,,,,,,,,
10240,2,,6,8,2,2,1,2,,,,,,,,
10241,2,,6,9,4,1,1,1,,,,,,,,
10242,2,,6,7,5,1,1,2,,,,,,,,
10243,2,,6,5,4,1,1,1,,,,,,,,
10244,2,,1,6,1,1,2,2,,,,,,,,
10245,4,3,6,3,1,2,1,2,,,,,,,,
10246,1,,99,6,4,1,1,2,,,,,,,,
10247,2,,1,9,2,1,1,2,,,,,,,,
10248,4,6,99,4,4,2,1,2,,,,,,,,
10249,1,,4,3,4,1,1,2,,,,,,,,
10250,2,,2,8,5,1,1,1,,,,,,,,
10251,2,,1,7,2,1,2,2,,,,,,,,
10252,5,,6,777,1,1,1,1,,,,,,,,
