"SEQN","OCD150","OCD180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCD310B","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCQ470G","OCD470","OCD480"
10142,4,,,,,,,,,,,,,3,1,17,324,2,,,,,,
10144,4,,,,,,,,,,,,,1,1,16,48,2,,,,,,
10146,4,,,,,,,,,,,,,7,1,3,360,1,2,,,,,
10150,1,20,2,39,22,1,12,2,,2,2,,,,2,,,,,,,4,,
10153,1,20,2,40,5,1,36,2,,2,2,,,,2,,,,,,,4,,
10154,4,,,,,,,,,,,,,3,1,1,300,2,,,,,,
10156,4,,,,,,,,,,,,,3,1,31,300,1,1,5,2,,,
10159,4,,,,,,,,,,,,,2,1,37,1,2,,,,,,
10161,1,32,2,36,24,1,7,1,1,,2,,,,2,,,,,,,,,
10162,1,45,,28,35,1,180,2,,2,2,,,,2,,,,,,,,,
10163,1,40,,22,33,1,36,2,,,1,1,8,,1,32,72,,1,8,2,,,
10165,4,,,,,,,,,,,,,3,1,10,516,2,,,,,,
10166,4,,,,,,,,,,,,,6,4,,,,,,,,,
10167,4,,,,,,,,,,,,,7,1,32,120,,,,,,,
10168,4,,,,,,,,,,,,,3,1,34,360,2,,,,,,
10171,3,,,,,,,,,,,,,,4,,,,,,,,,
10172,2,,2,18,8,1,120,2,,1,1,1,1,,2,,,,,,,,,
10175,4,,,,,,,,,,,,,1,1,17,60,2,,,,,,
10178,1,42,,4,29,1,24,1,24,1,2,,,,1,30,300,,,,,,,
10179,1,45,,42,1,1,60,2,,2,2,,,,1,14,132,,,,,,,
10181,1,40,,38,22,3,192,2,,2,2,,,,2,,,,,,,,,
10183,4,,,,,,,,,,,,,1,1,3,84,2,,,,,,
10186,4,,,,,,,,,,,,,1,1,17,3,2,,,,,,
10189,4,,,,,,,,,,,,,4,1,22,96,2,,,,,,
10192,4,,,,,,,,,,,,,6,1,11,72,1,2,,,,,
10195,1,40,,32,28,5,48,1,8,2,1,1,8,,1,28,360,,1,8,1,,,
10199,1,60,,26,9,1,120,2,,2,2,,,,2,,,,,,,,,
10201,1,86,,4,36,1,36,2,,1,1,1,12,,1,35,360,,1,1,2,,,
10202,1,46,,38,8,1,60,2,,2,2,,,,2,,,,,,,,,
10203,1,60,,4,30,5,300,1,4,2,1,1,5,,2,,,,,,,,,
10205,4,,,,,,,,,,,,,3,1,31,120,1,1,8,2,,,
10207,4,,,,,,,,,,,,,3,1,6,84,2,,,,,,
10216,1,30,2,27,11,1,8,2,,2,2,,,,1,17,12,,,,,,,
10219,1,40,,40,5,1,96,2,,2,2,,,,2,,,,,,,,,
10220,1,40,,1,26,1,10,1,1,2,2,,,,2,,,,,,,,,
10224,4,,,,,,,,,,,,,2,4,,,,,,,,,
