"SEQN","ACD010A","ACD010B","ACD010C","ACQ020","ACQ030","ACD040","ACQ050","ACQ060","ACD070","ACD080"
10381,1,,,,,,,,,
10382,1,,,,,,,,,
10383,1,,,,,,,,,
10384,,,,1,1,1,1,1,4,4
10388,1,,,,,,,,,
10390,,,,5,1,4,3,3,1,1
10391,1,,,,,,,,,
10392,,,3,,,,,,,
10393,1,,,,,,,,,
10394,1,,,,,,,,,
10396,1,,,,,,,,,
10397,,,,2,1,1,3,2,4,4
10398,1,,,,,,,,,
10399,,,,1,1,1,1,1,4,4
10401,,,,5,5,5,5,5,1,1
10404,1,,,,,,,,,
10406,,,,4,2,5,5,5,4,4
10408,1,,,,,,,,,
10409,1,,3,,,,,,,
10410,1,,,,,,,,,
10411,1,,,,,,,,,
10413,1,,,,,,,,,
10415,1,,,,,,,,,
10418,1,,,,,,,,,
10419,1,,,,,,,,,
10420,1,,,,,,,,,
10421,1,,,,,,,,,
10422,,,,3,3,5,4,5,1,1
10424,1,,,,,,,,,
10425,,,,4,1,3,5,5,4,4
10426,1,,,,,,,,,
10427,1,,,,,,,,,
10428,1,,,,,,,,,
10429,,,,4,4,4,4,4,4,4
10431,1,,,,,,,,,
10432,,,,3,4,3,4,4,1,1
10433,1,,,,,,,,,
10434,1,,,,,,,,,
10436,1,,,,,,,,,
10437,1,,,,,,,,,
10438,1,,,,,,,,,
10440,1,,,,,,,,,
10441,,,,1,1,1,1,1,4,4
10442,,,,2,1,2,2,2,4,1
10443,1,,,,,,,,,
10444,,,,1,1,1,1,1,4,4
10445,1,,,,,,,,,
10446,,,,5,4,1,4,5,5,5
10447,1,,,,,,,,,
10448,1,,,,,,,,,
10449,1,,3,,,,,,,
10450,,,,4,2,4,4,5,4,4
10451,1,,,,,,,,,
10452,,,,2,1,2,4,3,5,5
10453,,,,4,4,5,5,5,1,1
10454,1,,,,,,,,,
10455,,,,4,2,3,4,4,4,4
10457,1,,,,,,,,,
10458,1,,,,,,,,,
10459,1,,,,,,,,,
10461,,,,2,1,1,1,1,4,4
10462,1,,,,,,,,,
10463,,,,1,1,1,1,1,4,4
10464,1,,,,,,,,,
10465,,,,4,5,5,5,5,1,1
10468,1,,,,,,,,,
10471,1,,,,,,,,,
10473,,,3,,,,,,,
10474,1,,3,,,,,,,
10475,1,,3,,,,,,,
10476,1,,,,,,,,,
10477,1,,3,,,,,,,
10479,,,,2,1,1,3,4,4,4
10480,1,,,,,,,,,
10481,,,,4,4,4,5,4,2,2
10483,,,,1,1,1,1,1,4,4
10484,,,,3,1,3,1,4,4,4
10485,1,,,,,,,,,
10486,1,,,,,,,,,
