"SEQN","HOQ011","HOD030","HOQ040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOQ230","HOQ240","HOQ250","HOQ260A","HOQ260B","HOQ260C","HOQ270","HOQ280A","HOQ280B","HOQ280C"
31315,2,,1,5,1,1,1,1,2,2,2,,,,2,,,
31316,2,,3,11,2,1,1,1,1,2,1,,2,,,,,
31317,6,,1,1,1,2,1,2,1,2,2,,,,2,,,
31318,2,,3,5,2,2,1,2,2,2,2,,,,2,,,
31319,4,7,2,3,2,2,1,2,2,2,2,,,,2,,,
31320,4,4,99,4,3,2,1,2,1,1,2,,,,2,,,
31321,4,4,99,3,1,2,1,2,1,2,2,,,,2,,,
31322,3,,99,4,2,3,1,2,2,2,2,,,,2,,,
31323,2,,3,7,5,1,1,2,1,2,2,,,,2,,,
31324,2,,3,6,1,1,1,2,2,2,2,,,,2,,,
31325,4,3,4,4,1,2,1,2,2,2,2,,,,2,,,
31326,3,,1,5,1,2,1,2,2,2,2,,,,2,,,
31327,3,,2,5,2,1,1,1,2,2,2,,,,1,1,,
31328,,,,,,,,,,,,,,,,,,
31329,2,,2,1,5,1,2,1,2,2,1,1,2,,,,,
31330,2,,99,8,1,1,1,2,2,2,1,,,3,,,,
31331,1,,1,7,4,1,2,2,2,2,2,,,,2,,,
31332,2,,3,10,5,1,1,2,2,2,2,,,,1,,2,
31333,2,,99,5,4,1,1,2,2,2,1,1,,,,,,
31334,4,7,99,3,1,2,1,2,2,2,2,,,,2,,,
31335,4,4,2,4,3,1,2,2,2,2,2,,,,2,,,
31336,1,,3,6,5,1,2,1,2,2,1,1,,,,,,
31337,2,,3,8,5,1,1,1,2,2,1,1,2,,,,,
31338,1,,2,4,2,1,2,2,1,2,2,,,,2,,,
31339,3,,2,5,5,2,1,2,2,2,2,,,,2,,,
31340,2,,1,7,2,1,1,2,2,2,1,1,,,,,,
31341,4,5,3,4,5,2,1,2,1,2,2,,,,2,,,
31342,2,,6,6,2,1,1,2,2,2,2,,,,2,,,
31343,2,,3,10,5,1,1,1,1,2,1,1,2,,,,,
31344,2,,4,9,5,1,1,1,1,2,1,1,,,,,,
31345,2,,1,7,4,1,2,1,2,2,2,,,,2,,,
31346,2,,1,7,3,1,2,1,2,2,1,1,2,,,,,
31347,2,,3,6,2,1,2,1,2,2,1,1,2,,,,,
31348,2,,2,10,5,1,1,2,1,2,2,,,,2,,,
31349,2,,99,7,3,1,1,2,2,1,1,1,,,,,,
31350,2,,2,7,2,1,1,2,1,2,1,,2,,,,,
31351,2,,3,11,2,1,1,1,1,2,1,,2,,,,,
31352,2,,99,5,2,2,1,2,2,1,2,,,,1,1,2,
31353,2,,3,5,5,1,1,2,2,2,1,,2,,,,,
31354,2,,3,7,2,1,1,2,2,2,1,1,,,,,,
31355,2,,1,6,2,1,1,2,2,2,1,1,,,,,,
31356,2,,4,6,1,1,1,2,2,2,2,,,,2,,,
31357,2,,4,10,5,1,1,2,2,2,1,1,2,,,,,
31358,2,,5,6,5,1,1,2,2,1,2,,,,2,,,
31359,3,,99,4,1,2,2,2,1,1,2,,,,2,,,
31360,2,,3,8,2,1,1,2,1,2,1,1,,,,,,
31361,3,,5,7,2,3,1,2,1,1,1,1,2,,,,,
31362,2,,3,6,4,1,1,2,2,2,1,,,3,,,,
31363,2,,99,8,2,1,1,2,2,1,1,1,,,,,,
31364,2,,5,11,5,1,1,2,2,2,2,,,,1,,2,
31365,2,,6,6,2,1,1,2,2,1,1,1,,,,,,
31366,3,,99,4,2,2,1,2,2,1,2,,,,2,,,
31367,2,,2,9,5,1,2,1,2,2,1,1,2,,,,,
31368,2,,3,5,3,1,1,2,1,2,1,1,,,,,,
