"SEQN","OCD150","OCQ180","OCQ210","OCQ260","OCD270","OCQ670","OCQ380","OCD390G","OCD395"
93912,1,40,,3,12,1,,1,96
93913,1,40,,1,2,1,,2,
93914,4,,,,,,3,1,120
93915,4,,,,,,5,1,180
93916,1,40,,1,60,1,,2,
93918,1,45,,1,3,3,,2,
93920,1,24,1,1,132,1,,2,
93923,1,40,,1,276,1,,2,
93924,4,,,,,,6,1,180
93926,2,,1,1,4,5,,1,132
93927,1,40,,1,144,2,,2,
93929,1,30,2,1,12,1,,2,
93930,4,,,,,,3,1,204
93931,3,,,,,,,1,5
93932,4,,,,,,1,1,8
93935,1,42,,1,156,5,,2,
93937,1,37,,1,18,5,,2,
93938,1,15,2,3,0,2,,2,
93939,1,40,,1,6,1,,1,180
93940,1,50,,1,144,3,,2,
93941,1,45,,5,120,5,,2,
93942,1,30,2,5,96,5,,1,180
93943,4,,,,,,3,1,348
93945,4,,,,,,7,1,456
93946,1,40,,1,8,2,,2,
93947,1,30,2,5,120,1,,2,
93949,1,5,1,1,0,2,,1,16
93950,1,60,,5,36,2,,1,48
93952,4,,,,,,1,1,48
93953,1,60,,1,7,3,,2,
93954,1,40,,1,4,1,,2,
93955,4,,,,,,4,1,168
93957,4,,,,,,4,1,48
93959,1,40,,4,120,5,,1,240
93960,2,,2,5,72,1,,1,132
93961,1,40,,5,276,1,,2,
93963,4,,,,,,3,1,456
93964,1,45,,1,84,1,,1,120
93965,4,,,,,,1,1,48
93968,1,50,,1,3,5,,2,
93969,2,,1,4,36,1,,2,
93970,1,50,,1,60,1,,2,
93971,1,48,,2,96,1,,2,
93972,1,55,,1,48,5,,2,
93974,2,,2,5,60,5,,1,8
93975,1,48,,1,6,1,,1,120
93977,1,24,2,1,48,1,,2,
93978,1,40,,1,120,1,,2,
93979,4,,,,,,7,4,
93980,1,60,,1,18,1,,2,
93981,4,,,,,,1,1,12
93982,3,,,,,,,1,252
93983,4,,,,,,3,1,600
93984,1,50,,1,60,5,,2,
93985,1,40,,1,228,2,,2,
93987,1,32,1,1,0,3,,1,144
93988,4,,,,,,1,1,72
93989,1,6,2,1,120,5,,1,120
93990,4,,,,,,3,1,156
93998,1,40,,1,5,5,,1,24
93999,1,26,1,5,24,5,,1,24
94000,1,45,,1,30,5,,1,120
94001,4,,,,,,2,1,5
94002,1,40,,1,18,5,,1,36
94003,4,,,,,,3,1,336
94004,1,40,,1,2,1,,1,36
94007,4,,,,,,3,1,600
94008,4,,,,,,1,1,36
94010,4,,,,,,3,1,300
94012,1,32,2,1,18,5,,2,
94013,1,72,,1,72,5,,1,144
94015,1,40,,3,10,3,,1,120
94016,1,60,,5,480,5,,2,
94017,1,40,,4,10,1,,2,
94019,4,,,,,,1,1,324
94021,4,,,,,,1,4,
94026,4,,,,,,3,1,24
94027,1,40,,1,24,5,,1,24
94028,1,40,,1,48,3,,2,
94029,1,50,,1,84,3,,1,144
94030,1,40,,1,120,3,,2,
94031,4,,,,,,3,1,120
94033,4,,,,,,3,4,
94034,4,,,,,,7,1,60
94037,1,50,,1,156,1,,2,
94038,3,,,,,,,1,240
94039,1,20,2,3,180,5,,2,
94040,3,,,,,,,1,36
94041,1,30,2,5,240,1,,2,
94042,1,24,2,1,0,2,,1,6
94043,1,40,,1,36,1,,2,
94044,1,30,1,1,72,5,,2,
94045,4,,,,,,6,1,300
94046,1,24,1,1,0,3,,1,264
94047,1,40,,4,24,2,,2,
94048,1,20,2,5,372,1,,1,384
94049,4,,,,,,3,1,216
94050,4,,,,,,6,1,360
94051,4,,,,,,3,1,108
94053,4,,,,,,3,1,360
94054,4,,,,,,4,1,240
94055,4,,,,,,3,1,360
94057,4,,,,,,4,1,264
94058,3,,,,,,,1,108
94059,1,37,,1,168,1,,2,
94060,1,60,,1,420,5,,2,
94061,4,,,,,,1,4,
94064,1,44,,4,5,5,,2,
94065,4,,,,,,3,1,264
94067,1,46,,1,48,1,,2,
94068,4,,,,,,3,1,420
94069,1,40,,1,72,3,,2,
94071,1,40,,1,10,1,,2,
94073,4,,,,,,3,1,480
94074,1,45,,1,108,5,,2,
94077,4,,,,,,4,4,
94078,4,,,,,,2,4,
94080,4,,,,,,3,1,420
94081,4,,,,,,3,1,420
94082,4,,,,,,3,1,60
94084,1,54,,1,48,5,,2,
94085,4,,,,,,3,1,48
94086,4,,,,,,3,1,228
94087,4,,,,,,2,1,60
94090,4,,,,,,2,4,
94092,1,46,,1,12,3,,2,
94093,1,60,,1,12,5,,2,
94095,4,,,,,,3,1,180
94096,4,,,,,,3,1,456
94097,1,47,,5,216,5,,1,420
94098,1,40,,1,1,5,,1,12
94099,3,,,,,,,1,9
94101,1,20,2,5,48,1,,1,120
94102,4,,,,,,3,1,480
94105,1,40,,1,84,1,,1,108
94106,1,50,,1,12,1,,1,12
94108,1,30,1,1,204,3,,2,
94112,1,15,2,1,2,5,,1,36
94113,2,,2,1,108,,,2,
94114,3,,,,,,,4,
94116,1,40,,4,288,1,,2,
94117,4,,,,,,6,1,120
94118,4,,,,,,7,1,60
94119,4,,,,,,6,1,240
94122,1,50,,1,60,5,,2,
94123,1,40,,1,120,5,,2,
94124,1,37,,1,3,5,,1,324
94126,2,,1,1,252,1,,2,
94127,4,,,,,,1,1,18
94128,1,48,,1,5,2,,1,144
94130,1,6,2,1,0,5,,1,24
94131,4,,,,,,1,1,60
94133,1,20,2,1,24,2,,1,60
94134,1,48,,1,204,3,,2,
94135,1,35,,1,48,1,,1,96
94137,1,5,2,5,1,5,,1,120
94138,4,,,,,,1,4,
94139,1,32,2,1,192,5,,2,
94140,3,,,,,,,1,8
94141,4,,,,,,3,1,348
94144,4,,,,,,2,4,
94147,4,,,,,,3,1,360
94148,1,30,2,99,2,5,,2,
94150,4,,,,,,3,1,360
94151,1,37,,3,0,1,,1,60
94152,1,20,2,1,2,5,,1,180
94154,4,,,,,,7,1,360
94155,1,50,,1,24,1,,2,
94156,1,56,,1,24,5,,1,60
94157,1,40,,1,228,2,,2,
94158,4,,,,,,4,1,60
94160,4,,,,,,1,1,6
94161,4,,,,,,4,1,84
94162,3,,,,,,,1,588
94163,1,77777,1,1,108,1,,2,
94164,4,,,,,,2,4,
94166,1,40,,1,12,1,,1,36
94167,4,,,,,,2,4,
94168,4,,,,,,7,1,84
94169,1,35,,1,6,1,,2,
94173,4,,,,,,3,1,120
94174,1,40,,99,3,5,,2,
94175,4,,,,,,3,1,300
94176,1,24,1,1,14,2,,2,
94177,1,40,,3,48,1,,2,
94178,4,,,,,,7,1,120
94179,4,,,,,,3,1,180
94181,4,,,,,,1,1,6
94182,1,99999,1,5,480,5,,1,600
94183,1,45,,1,36,5,,1,144
94187,1,60,,1,252,5,,2,
94188,1,50,,6,216,5,,1,300
94189,1,40,,1,12,3,,1,24
94190,4,,,,,,7,1,120
94192,4,,,,,,1,4,
94193,3,,,,,,,1,120
94195,4,,,,,,7,1,5
94198,4,,,,,,1,1,72
94199,4,,,,,,3,1,84
94200,1,41,,1,10,5,,1,36
94201,4,,,,,,3,1,468
94202,4,,,,,,3,1,396
94204,4,,,,,,3,1,420
94205,4,,,,,,3,1,336
94206,2,,2,5,360,5,,2,
94207,4,,,,,,6,1,30
94208,3,,,,,,,1,240
94210,4,,,,,,3,1,204
94211,1,15,1,5,6,1,,1,24
94212,4,,,,,,7,1,84
94214,1,15,2,1,6,2,,2,
94216,1,50,,5,312,1,,2,
94217,4,,,,,,2,4,
94219,1,40,,1,12,1,,2,
94220,4,,,,,,2,4,
94221,3,,,,,,,1,72
94223,4,,,,,,1,1,96
94224,1,20,2,1,72,5,,2,
94227,4,,,,,,3,1,432
94229,4,,,,,,3,1,72
94231,4,,,,,,6,1,108
94232,4,,,,,,3,1,396
94233,1,10,1,5,480,3,,2,
94235,4,,,,,,2,1,36
94237,4,,,,,,3,1,420
94239,1,40,,2,360,1,,2,
94241,1,30,1,1,12,5,,2,
94242,1,35,,1,72,5,,1,156
94243,4,,,,,,3,1,360
94244,4,,,,,,3,1,240
94245,1,40,,1,3,5,,1,60
94246,1,40,,1,0,1,,2,
94247,1,40,,1,2,2,,1,24
94248,1,36,,1,48,3,,2,
94249,1,15,2,1,24,1,,1,120
94250,1,40,,1,2,5,,2,
94251,1,37,,1,12,5,,1,36
94253,4,,,,,,3,1,120
94255,1,40,,1,252,5,,2,
94258,1,65,,5,396,5,,2,
94259,1,40,,1,144,1,,2,
94260,1,60,,1,2,3,,1,5
94261,4,,,,,,3,1,108
94262,1,25,2,3,0,1,,1,5
94263,1,30,2,1,2,2,,1,6
94265,4,,,,,,3,1,360
94266,1,46,,1,72,1,,2,
94267,4,,,,,,3,1,180
94270,1,55,,1,48,1,,2,
94271,1,38,,1,24,1,,2,
94272,4,,,,,,2,1,5
94273,4,,,,,,6,1,324
94274,4,,,,,,3,1,372
94275,1,40,,1,24,1,,2,
94276,4,,,,,,3,1,312
94277,4,,,,,,1,1,156
94278,4,,,,,,4,1,84
94279,1,40,,1,24,1,,2,
94281,4,,,,,,1,1,18
94282,3,,,,,,,4,
94283,1,80,,1,36,5,,2,
94284,1,40,,4,48,1,,1,192
94285,4,,,,,,6,4,
94286,4,,,,,,3,1,240
94287,1,20,2,4,13,1,,2,
94288,1,40,,1,12,1,,2,
94289,4,,,,,,2,4,
94290,1,45,,3,72,1,,2,
94291,1,51,,3,24,1,,1,84
94293,1,72,,1,336,5,,2,
94295,4,,,,,,1,1,36
94298,4,,,,,,3,1,252
94300,2,,2,3,480,1,,2,
94301,1,54,,1,132,1,,1,156
94302,4,,,,,,1,4,
94303,4,,,,,,6,1,108
94304,1,40,,1,72,1,,2,
94305,1,12,2,1,5,3,,2,
94306,1,60,,1,18,2,,1,48
94309,4,,,,,,7,1,204
94311,1,40,,3,18,3,,2,
94313,4,,,,,,6,1,6
94314,1,40,,1,4,5,,1,180
94319,1,25,1,5,120,5,,2,
94320,1,10,1,1,0,1,,1,36
94321,4,,,,,,6,1,120
94322,1,45,,1,18,3,,2,
94323,1,60,,1,180,5,,2,
94324,1,30,2,6,9,5,,1,240
94325,4,,,,,,6,1,300
94326,1,50,,1,8,1,,1,240
94327,4,,,,,,3,1,192
94328,2,,1,1,3,1,,2,
94330,1,40,,1,156,3,,2,
94332,4,,,,,,7,1,60
94334,4,,,,,,3,1,360
94335,1,40,,1,252,5,,2,
94336,4,,,,,,3,1,240
94337,1,10,2,6,12,5,,1,180
94339,1,25,1,1,3,5,,1,144
94340,1,40,,4,36,5,,1,48
94341,1,40,,1,36,3,,2,
94342,4,,,,,,3,3,396
94343,4,,,,,,3,1,420
94345,2,,1,5,360,5,,2,
94348,4,,,,,,3,1,600
94349,4,,,,,,2,1,5
94350,1,40,,1,204,1,,2,
94352,4,,,,,,3,1,240
94353,4,,,,,,2,4,
94356,4,,,,,,7,1,180
94359,1,70,,1,84,1,,2,
94360,1,8,2,1,96,5,,2,
94361,4,,,,,,5,1,7
94362,4,,,,,,3,1,384
94363,4,,,,,,3,1,300
94364,1,20,2,1,12,3,,1,18
94365,1,30,2,1,10,1,,2,
94366,1,42,,1,1,1,,2,
94368,1,57,,2,72,2,,2,
94372,4,,,,,,3,1,180
94373,4,,,,,,3,1,24
94374,3,,,,,,,1,120
94375,1,35,,1,3,2,,1,60
94376,4,,,,,,7,1,108
94377,1,42,,1,20,2,,1,42
94379,1,40,,1,18,2,,1,36
94380,4,,,,,,3,1,156
94381,4,,,,,,3,1,420
94382,4,,,,,,6,1,13
94385,1,48,,1,24,5,,2,
94386,1,35,,1,12,3,,1,84
94387,1,40,,2,228,2,,2,
94388,4,,,,,,1,1,120
94390,4,,,,,,3,1,240
94392,1,30,1,1,36,5,,1,96
94393,1,40,,1,72,5,,2,
94394,1,42,,1,4,3,,1,5
94395,4,,,,,,7,1,12
94398,1,40,,1,0,2,,1,48
94399,1,20,2,5,480,5,,2,
94401,1,48,,5,480,3,,2,
94404,1,15,2,1,204,3,,1,372
94405,4,,,,,,6,1,5
94406,1,40,,1,24,1,,1,48
94407,4,,,,,,3,1,120
94408,4,,,,,,3,1,600
94409,1,25,1,5,12,1,,1,24
94410,4,,,,,,6,1,192
94412,4,,,,,,3,1,540
94413,4,,,,,,2,4,
94414,4,,,,,,6,4,
94415,1,32,1,1,24,1,,2,
94416,1,35,,1,18,3,,1,24
94418,4,,,,,,1,1,24
94420,4,,,,,,3,1,168
94421,4,,,,,,3,4,
94423,4,,,,,,7,1,6
94424,4,,,,,,3,1,156
94425,4,,,,,,3,1,180
94427,1,40,,1,3,1,,2,
94428,1,40,,1,24,5,,2,
94429,1,50,,1,384,1,,2,
94430,1,40,,1,24,1,,2,
94431,2,,1,1,144,3,,1,108
94432,4,,,,,,3,1,240
94433,1,36,,1,0,1,,1,36
94434,1,40,,1,0,1,,1,12
94436,4,,,,,,7,1,5
94438,1,48,,5,480,1,,2,
94442,4,,,,,,4,1,60
94443,1,40,,1,12,3,,2,
94444,4,,,,,,3,1,216
94445,1,40,,1,34,2,,2,
94446,4,,,,,,1,1,6
94448,1,55,,1,36,5,,2,
94450,4,,,,,,5,1,204
94452,4,,,,,,6,1,192
94453,1,40,,1,3,5,,1,18
94456,3,,,,,,,4,
94457,1,40,,5,12,5,,2,
94458,1,40,,5,84,1,,2,
94459,1,18,2,1,3,2,,1,6
94460,1,50,,1,48,1,,2,
94461,1,36,,3,8,5,,1,24
94463,1,40,,1,12,2,,1,72
94464,4,,,,,,3,1,540
94465,1,40,,5,72,5,,2,
94467,4,,,,,,2,4,
94469,4,,,,,,1,1,144
94470,4,,,,,,3,1,360
94471,4,,,,,,1,1,108
94473,4,,,,,,3,1,240
94474,1,40,,1,180,2,,2,
94475,4,,,,,,6,4,
94476,1,30,1,5,12,5,,1,84
94477,1,20,2,1,21,5,,1,120
94478,1,40,,1,2,1,,2,
94479,4,,,,,,3,1,180
94481,1,40,,1,108,1,,2,
94483,4,,,,,,3,1,264
94486,4,,,,,,6,1,96
94487,1,8,1,1,3,5,,1,24
94488,1,20,2,5,60,1,,2,
94490,4,,,,,,3,1,60
94491,3,,,,,,,1,7
94493,1,40,,1,252,1,,2,
94497,4,,,,,,6,1,24
94499,1,25,2,1,48,1,,1,96
94500,4,,,,,,7,1,132
94501,1,50,,1,17,3,,2,
94503,1,43,,1,72,2,,1,204
94504,1,27,1,3,2,5,,2,
94506,4,,,,,,3,1,132
94507,3,,,,,,,1,72
94508,1,45,,1,12,5,,1,84
94509,4,,,,,,4,1,240
94510,1,40,,1,360,5,,2,
94512,1,40,,1,108,3,,2,
94515,4,,,,,,7,1,216
94516,4,,,,,,2,1,5
94517,4,,,,,,2,1,5
94519,1,55,,1,132,5,,2,
94522,4,,,,,,6,1,48
94523,4,,,,,,3,1,204
94525,4,,,,,,3,1,180
94526,1,40,,1,33,3,,2,
94527,1,40,,1,132,5,,2,
94528,1,40,,1,72,2,,2,
94529,4,,,,,,6,1,108
94530,1,36,,1,4,2,,1,24
94531,1,40,,1,36,1,,2,
94532,4,,,,,,1,1,60
94533,1,34,2,1,9,5,,2,
94534,4,,,,,,3,1,300
94535,1,30,1,1,360,1,,1,360
94538,1,32,1,2,19,1,,2,
94539,1,54,,1,0,3,,1,300
94541,4,,,,,,3,1,216
94542,4,,,,,,5,1,96
94544,4,,,,,,2,1,5
94545,1,30,2,1,2,5,,1,5
94546,4,,,,,,2,1,12
94547,1,40,,4,120,2,,2,
94549,4,,,,,,3,1,300
94550,4,,,,,,7,1,8
94552,1,56,,1,132,3,,2,
94553,4,,,,,,3,1,276
94554,4,,,,,,3,1,540
94555,4,,,,,,2,4,
94557,1,75,,4,48,5,,2,
94558,4,,,,,,4,1,96
94559,1,40,,4,180,3,,2,
94560,1,48,,1,0,3,,2,
94562,4,,,,,,2,1,5
94564,4,,,,,,4,1,72
94565,4,,,,,,7,1,18
94566,1,46,,1,120,5,,2,
94567,4,,,,,,2,4,
94568,4,,,,,,1,1,84
94569,1,48,,1,24,2,,1,120
94570,4,,,,,,5,1,228
94571,4,,,,,,3,1,216
94573,4,,,,,,1,1,120
94574,3,,,,,,,1,12
94575,4,,,,,,3,1,360
94576,1,40,,1,36,2,,2,
94577,4,,,,,,7,1,5
94578,4,,,,,,3,1,276
94579,1,35,,1,108,5,,2,
94581,4,,,,,,3,1,120
94583,4,,,,,,3,1,240
94586,4,,,,,,3,1,480
94587,4,,,,,,2,4,
94589,1,20,1,3,18,5,,1,60
94590,4,,,,,,1,1,132
94591,1,25,2,1,24,3,,1,240
94594,1,25,1,1,24,5,,1,60
94595,1,40,,1,84,1,,2,
94596,1,45,,1,24,1,,2,
94598,1,42,,4,12,5,,1,240
94600,4,,,,,,3,1,600
94605,1,50,,4,252,5,,2,
94606,4,,,,,,4,1,192
94607,1,80,,5,72,5,,2,
94608,1,28,2,1,12,2,,2,
94609,4,,,,,,3,1,24
94610,4,,,,,,2,4,
94614,4,,,,,,3,1,144
94615,4,,,,,,1,1,156
94616,4,,,,,,7,1,180
94618,1,41,,2,36,1,,3,276
94619,1,38,,1,120,5,,2,
94623,1,16,2,1,180,5,,2,
94624,1,36,,3,24,2,,2,
94625,1,40,,1,60,1,,2,
94627,4,,,,,,6,1,324
94631,1,12,1,1,0,1,,2,
94632,4,,,,,,3,1,96
94633,4,,,,,,3,1,300
94634,4,,,,,,3,1,336
94638,1,50,,1,12,5,,2,
94640,1,40,,1,1,1,,2,
94641,1,40,,1,156,2,,2,
94642,1,40,,1,216,2,,2,
94644,1,25,1,1,8,2,,1,60
94647,4,,,,,,1,1,36
94648,4,,,,,,1,1,108
94649,1,17,2,1,6,5,,1,444
94650,1,40,,4,48,1,,1,120
94651,4,,,,,,4,1,216
94652,4,,,,,,3,1,276
94654,4,,,,,,6,1,420
94659,1,30,2,1,5,1,,1,8
94660,1,40,,1,36,1,,1,96
94663,1,35,,1,48,5,,2,
94664,1,40,,1,8,1,,2,
94666,1,40,,1,84,5,,2,
94669,2,,2,5,108,5,,2,
94670,4,,,,,,6,1,60
94672,1,45,,1,16,5,,1,36
94673,3,,,,,,,1,12
94674,4,,,,,,2,4,
94676,4,,,,,,3,1,300
94677,1,78,,1,300,5,,1,120
94678,4,,,,,,3,1,384
94679,4,,,,,,3,1,168
94681,4,,,,,,7,1,336
94684,4,,,,,,1,1,36
94685,1,30,1,1,96,3,,1,144
94686,1,40,,5,168,5,,2,
94687,1,50,,5,48,5,,2,
94688,1,9,2,1,348,5,,2,
94689,1,37,,1,4,5,,1,16
94691,4,,,,,,3,1,168
94693,4,,,,,,6,4,
94694,4,,,,,,7,1,96
94695,4,,,,,,3,1,360
94696,1,8,1,1,132,2,,2,
94697,1,55,,3,8,1,,1,42
94698,1,40,,1,360,3,,1,360
94701,4,,,,,,2,4,
94702,3,,,,,,,1,24
94704,4,,,,,,3,1,300
94705,2,,2,99,8,3,,1,336
94706,4,,,,,,4,1,8
94707,4,,,,,,3,1,348
94708,1,50,,1,48,1,,2,
94710,2,,1,1,4,1,,2,
94711,4,,,,,,3,1,48
94713,4,,,,,,6,1,24
94716,4,,,,,,3,1,600
94719,1,40,,1,288,2,,2,
94720,1,73,,5,48,5,,2,
94721,1,40,,1,24,5,,1,96
94723,3,,,,,,,1,6
94724,4,,,,,,3,1,360
94725,1,80,,5,180,5,,2,
94726,1,38,,1,24,2,,2,
94727,1,20,1,1,3,5,,1,9
94729,1,40,,1,132,2,,2,
94730,4,,,,,,7,1,300
94731,1,40,,1,5,3,,2,
94732,1,42,,1,156,1,,2,
94735,4,,,,,,6,1,18
94736,1,42,,1,180,1,,2,
94737,1,35,,1,24,5,,1,24
94739,4,,,,,,3,1,264
94740,1,40,,1,12,5,,1,96
94744,1,40,,1,77777,2,,2,
94745,4,,,,,,2,1,5
94746,1,16,9,1,99999,5,,1,60
94747,1,32,2,1,9,2,,2,
94748,4,,,,,,7,1,24
94750,4,,,,,,6,1,444
94752,4,,,,,,3,1,480
94753,4,,,,,,3,1,300
94754,1,48,,5,72,1,,1,312
94755,4,,,,,,3,1,60
94756,4,,,,,,3,1,36
94757,2,,2,3,9,2,,1,36
94758,1,40,,1,48,5,,2,
94760,4,,,,,,3,1,144
94761,1,40,,1,1,3,,2,
94763,1,40,,1,72,1,,1,132
94764,1,48,,1,24,1,,2,
94765,4,,,,,,4,1,504
94766,1,40,,1,300,2,,2,
94767,1,16,2,77,77777,7,,7,
94768,4,,,,,,3,1,600
94771,4,,,,,,1,1,48
94772,4,,,,,,2,4,
94773,1,30,1,1,120,1,,2,
94774,1,5,2,1,4,5,,2,
94775,1,32,1,1,12,3,,2,
94776,4,,,,,,6,1,180
94777,2,,2,3,396,5,,2,
94779,4,,,,,,3,1,312
94780,1,40,,1,132,1,,2,
94782,4,,,,,,7,4,
94783,3,,,,,,,1,36
94785,1,40,,5,144,5,,2,
94786,4,,,,,,1,1,18
94787,1,40,,1,4,2,,2,
94788,1,40,,1,60,2,,1,60
94792,4,,,,,,3,1,180
94793,1,50,,1,132,1,,2,
94795,1,40,,1,18,1,,1,72
94797,4,,,,,,3,1,144
94798,4,,,,,,3,4,
94799,4,,,,,,2,1,5
94801,1,40,,1,34,5,,1,48
94802,1,39,,1,12,1,,2,
94803,1,40,,4,12,1,,1,48
94804,3,,,,,,,4,
94805,4,,,,,,3,1,336
94806,1,43,,1,228,1,,2,
94808,1,40,,1,36,2,,2,
94809,4,,,,,,1,1,144
94810,4,,,,,,4,1,192
94811,4,,,,,,6,1,156
94812,1,40,,1,168,5,,2,
94813,4,,,,,,3,4,
94816,1,25,2,1,0,5,,1,10
94818,4,,,,,,3,1,480
94819,4,,,,,,1,4,
94820,4,,,,,,2,4,
94826,4,,,,,,3,1,480
94829,4,,,,,,3,1,180
94831,1,36,,1,288,5,,2,
94832,4,,,,,,3,1,360
94834,4,,,,,,6,1,240
94835,4,,,,,,6,1,192
94836,1,50,,5,420,5,,1,420
94837,1,18,2,5,3,1,,2,
94838,4,,,,,,3,4,
94840,1,26,2,1,24,1,,1,5
94844,1,45,,1,7,5,,2,
94847,4,,,,,,3,1,120
94848,1,60,,3,12,2,,1,36
94850,4,,,,,,7,1,60
94852,1,40,,1,6,3,,1,84
94854,1,40,,1,0,5,,1,180
94855,4,,,,,,6,1,60
94856,4,,,,,,3,1,312
94857,1,16,2,1,12,1,,1,18
94858,1,5,2,5,36,5,,1,96
94860,4,,,,,,1,1,18
94861,1,40,,1,156,5,,2,
94862,2,,1,4,240,1,,2,
94863,1,40,,1,3,5,,2,
94864,4,,,,,,2,4,
94867,1,50,,1,36,3,,2,
94868,1,40,,1,72,1,,1,240
94871,4,,,,,,3,1,516
94872,4,,,,,,3,1,360
94873,1,40,,1,16,5,,2,
94874,3,,,,,,,1,5
94875,4,,,,,,2,4,
94876,4,,,,,,2,4,
94877,4,,,,,,6,1,600
94878,1,80,,3,6,5,,2,
