"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
41956,1,2,2,2,2,2,2,1,2,12,5,3,,
41957,1,1,2,2,2,2,2,2,2,12,5,3,1,
41958,,,,,,,,,,,,,,
41959,2,2,2,2,2,1,2,2,1,6,1.78,2,2,1
41960,1,2,1,2,1,2,2,1,2,10,4.09,3,1,
41961,1,2,2,2,2,2,2,1,2,10,3.4,3,,
41962,1,2,2,2,2,2,2,1,2,11,5,3,,
41963,2,2,2,1,1,2,2,2,2,3,0.77,1,2,1
41964,1,2,2,2,2,2,2,2,2,5,2.23,3,,
41965,1,2,1,2,2,1,2,1,2,7,1.3,1,,
41966,1,2,2,2,2,2,2,2,2,7,2.05,3,,
41967,1,2,2,2,2,2,2,2,1,6,1.09,1,2,1
41968,1,2,2,2,2,2,2,2,1,1,0,1,2,1
41969,1,2,2,2,2,2,2,2,2,6,2.06,3,,
41970,7,2,2,2,2,2,2,2,2,77,,7,2,77
41971,2,2,1,2,1,2,2,1,2,3,0.88,1,2,1
41972,1,2,2,2,2,2,2,2,2,5,1.13,1,1,
41973,1,2,1,2,2,2,2,2,2,5,2.35,3,,
41974,1,1,2,2,2,2,2,2,2,7,1.87,3,1,
41975,1,2,2,2,2,2,2,2,2,6,1.45,2,2,1
41976,1,2,2,2,2,2,2,1,2,6,1.63,2,1,
41977,1,2,2,2,2,2,2,2,2,5,0.99,1,2,1
41978,1,2,2,2,2,2,9,2,1,2,0.21,1,2,1
41979,1,2,2,2,2,2,2,2,2,77,,2,2,1
41980,1,2,2,2,2,2,2,2,2,8,1.5,2,,
41981,1,1,2,2,2,2,2,1,2,11,5,3,,
41982,,,,,,,,,,,,,,
41983,2,2,1,2,2,2,2,2,2,4,1.1,1,2,1
41984,2,2,1,1,2,1,2,2,2,4,1.12,1,2,1
41985,1,2,2,2,2,2,2,2,2,5,0.75,1,2,1
41986,1,2,2,2,2,2,2,2,2,5,1.16,1,2,1
41987,1,2,2,2,2,2,2,2,2,5,1.12,1,2,2
41988,1,2,2,2,2,2,2,2,2,5,1.16,1,2,3
41989,1,2,2,2,2,2,2,2,1,8,2.32,3,2,1
41990,1,2,2,2,2,2,2,2,2,99,,1,,
41991,1,2,2,2,2,2,2,2,2,1,0.11,1,2,1
41992,1,2,2,2,2,2,2,2,2,11,2.78,3,,
41993,1,1,1,2,1,2,2,1,2,12,5,3,,
41994,1,2,2,2,2,2,2,2,1,6,1.7,2,,
41995,1,2,2,2,2,2,2,2,1,6,1.21,1,2,4
41996,1,1,2,2,2,2,2,1,2,9,2.83,3,,
41997,1,2,2,2,2,2,2,2,2,7,1.55,2,2,1
41998,1,2,2,2,2,2,2,2,2,3,0.5,1,2,1
41999,1,2,2,2,2,2,2,2,2,4,1.09,1,2,1
42000,1,2,2,2,2,2,2,2,2,11,5,3,,
42001,1,2,2,2,2,2,2,2,2,8,3.07,3,,
42002,1,2,2,2,2,2,2,1,2,11,5,3,,
42003,2,2,1,2,2,2,2,2,2,2,0.35,1,2,1
42004,1,2,2,2,2,2,2,2,2,8,3.51,3,,
42005,2,2,1,2,2,2,2,2,1,9,5,3,,
42006,1,2,2,2,2,2,2,2,2,7,1.27,1,2,1
42007,1,2,2,2,2,2,2,2,2,3,0.39,1,2,1
42008,1,2,2,2,2,2,2,2,2,7,1.31,2,1,
42009,2,2,1,2,2,1,2,2,2,2,0.53,1,2,1
42010,1,2,2,2,2,2,2,2,2,6,2.4,3,2,3
42011,1,2,2,2,2,2,2,2,2,2,0.4,1,2,1
