"SEQN","FSD032A","FSD032B","FSD032C","FSD032D","FSD032E","FSD032F","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD411","FSD421","FSD431","FSQ440","FSD451","FSQ170","FSD170N","FSD180","FSD190","FSD200","FSQ210","FSQ220","FSQ162","FSD650","FSD660","FSD670"
31199,2,2,3,,,,2,,2,2,2,,,,,,,,2,2,,2,3,3,3,3,2,,2,0,2,,,,,2,,,
31200,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
31201,2,2,1,,,,2,,2,2,1,1,2,,,,,,3,4,,2,,,,,,,2,0,2,,,,,,,,
31202,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,1,1,12
31203,2,2,2,2,2,3,2,,2,2,2,,,,,,,,3,3,3,2,3,3,3,3,2,,2,0,2,,,,,1,1,1,2
31204,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31205,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31206,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,2,1,12,1,140,,2,,,
31207,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31208,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31209,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,,325,1,1,1,24
31210,3,3,2,,,,2,,1,2,2,2,,,,,,,2,2,,2,3,3,3,3,2,,2,0,2,,,,,,,,
31211,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31212,1,1,3,1,1,3,2,,2,2,2,,,,,,,,3,2,3,2,2,3,3,3,2,2,1,2,1,12,1,599,,1,1,1,1
31213,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31214,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,2,,,380,,2,,,
31215,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31216,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,,,2,0,2,,,,,2,2,,
31217,1,2,2,1,3,3,2,,2,2,2,,,,,,,,3,3,2,1,3,2,3,3,,2,1,1,2,,,137,,1,1,1,14
31218,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31219,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31220,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31221,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31222,2,3,3,2,3,3,2,,2,2,2,,,,,,,,2,2,2,2,3,3,3,2,,2,2,0,2,,,,,1,1,1,48
31223,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31224,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31225,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,10
31227,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31228,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,,,
31229,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
31230,2,2,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,3,3,3,3,,,2,0,2,,,,,2,,,
31231,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,2,,
