"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD421","FSD431","FSD411","FSD440","FSD451","FSQ165","FSQ171","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
51684,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,3,3,3,3,,,1,1,12,526,1,1,1,1,1,48,1,5,,,
51685,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51686,1,2,1,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,3,3,3,3,,,1,1,6,540,1,1,1,1,1,21,2,,,,
51687,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51688,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,,0,2,,,,
51689,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,1,1,48,1,6,,,
51690,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,
51691,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51692,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51693,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51694,1,1,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,3,3,3,2,2,2,,,,2,,,,,,,,,,
51695,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,1,2,10,1,3,,,
51696,2,3,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,2,3,3,1,2,2,,,,,,,,,,,,,,
51697,1,1,2,1,1,1,2,2,2,,,,,,,,,,4,4,,1,2,3,3,3,2,2,1,2,,,2,,,,,,,,,,
51698,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,1,1,24,1,6,,,
51699,2,2,2,1,3,1,1,1,1,3,2,3,2,2,1,3,2,2,4,4,3,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51700,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,3,2,3,3,,2,2,,,,2,,,1,1,12,1,1,,,
51701,1,1,2,1,1,1,1,1,2,,3,3,3,,,,,,4,4,1,2,3,3,3,3,2,,1,1,9,300,2,,,,,,,,,,
51702,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51703,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51704,1,1,1,2,,2,2,2,,,2,3,3,2,2,,2,2,3,3,2,1,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51705,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51706,2,3,3,1,2,2,2,2,2,,3,3,3,,,,,,3,3,1,1,3,3,3,3,,,1,1,9,394,1,1,1,2,1,12,2,,,,
51707,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51708,1,3,1,1,2,1,2,2,2,,1,1,3,1,2,,2,2,4,3,3,2,2,2,3,2,2,2,2,,,,2,,,,,,,,,,
51709,1,1,2,2,,2,2,2,,,1,2,3,2,2,,2,2,3,3,3,2,3,3,3,3,2,,1,1,24,493,2,,,,,,,,,,
51710,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51711,2,3,3,2,,2,2,2,,,,,,,,,,,2,2,,1,9,9,9,9,9,,2,,,,2,,,,,,,,,,
51712,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51713,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51714,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51715,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,,,,,,,,
51716,3,2,3,1,3,1,2,2,2,,3,3,3,,,,,,3,3,1,1,3,3,3,3,,,1,1,50,500,,,,1,1,24,1,99,,,
51717,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,,0,2,,,,
51718,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51719,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51720,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51721,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,28,100,2,,,,,,,,,,
51722,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51723,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51724,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,2,,
51725,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,1,1,60,1,2,,,
51726,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51727,2,2,2,1,2,1,1,1,2,,2,2,2,1,2,,1,2,4,4,4,1,3,3,3,3,,,1,1,1,367,1,,,,,,,,,,
51728,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51729,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,,,,,,,,
51730,1,1,1,2,,2,2,2,,,,,,,,,,,3,3,,1,3,3,3,3,2,,1,1,11,300,2,,,,,,,,,,
51731,2,2,2,1,1,2,2,2,2,,3,3,3,,,,,,3,3,1,2,3,3,3,3,2,,1,1,15,58,1,,,,,,,,,,
51732,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51733,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51734,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51735,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51736,3,2,3,2,,2,2,1,2,,,,,,,,,,2,2,,2,2,2,2,2,9,1,2,,,,,,,,,,,,,,
51737,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51738,2,2,3,1,2,1,1,1,1,1,,,,,,,,,4,4,,1,2,2,3,3,2,2,2,,,,2,,,,,,,,,,
51739,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,1,1,2,1,1,2,,,,
51740,2,2,2,1,1,1,2,2,1,2,,,,,,,,,4,4,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
