"SEQN","FSD160","FSD170N","FSD180","FSD190","FSD200","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSD450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSD520","FSD655","FSD660C","FSD665","FSQ650","FSD660M","FSD670","HHFDSEC","ADFDSEC","CHFDSEC"
10067,1,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1
10068,2,1,2,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,1
10069,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10070,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10071,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,3
10072,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10073,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10074,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,
10075,,,,,,,,,,,,,,,,,,,,,,,,,,,
10076,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10077,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,
10078,1,,,,,,,,,,,,2,2,2,2,,2,1,1,,,,,2,2,1
10079,1,1,2,,,,,,,,,,2,2,2,2,,2,1,,,,,,2,2,2
10080,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10082,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10083,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10084,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10085,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,
10086,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
10087,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10088,2,1,1,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,2
10089,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10090,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10091,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10092,1,5,1,10,2,,,,,,,,,,,,,,1,1,6,,,,1,1,1
10093,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10094,1,,,,,,,,,,,,,,,,,,1,1,1,,,,2,2,1
10095,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10096,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10097,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10098,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10099,2,1,1,2,1,2,,2,2,2,2,,,,,,,,,,,,,,3,3,
10100,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10101,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10102,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,2,1
10103,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,4,4,
10105,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10106,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10107,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10108,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
